# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	9.947352e-01	9.884620e-01	9.969193e-01	9.773067e-01	1.000457e+00	9.962257e-01	9.940898e-01	9.968499e-01	9.817970e-01	1.000914e+00
4.900000e+00	9.961208e-01	9.919077e-01	9.977733e-01	9.811313e-01	1.000734e+00	9.971844e-01	9.958505e-01	9.976393e-01	9.844331e-01	1.000949e+00
6.000000e+00	9.972170e-01	9.943536e-01	9.984566e-01	9.843751e-01	1.000936e+00	9.979322e-01	9.971876e-01	9.983091e-01	9.867424e-01	1.001024e+00
7.400000e+00	9.981577e-01	9.961783e-01	9.991015e-01	9.873506e-01	1.001183e+00	9.985827e-01	9.981702e-01	9.988811e-01	9.890076e-01	1.001537e+00
9.100000e+00	9.990414e-01	9.976014e-01	9.996889e-01	9.893300e-01	1.001179e+00	9.992495e-01	9.989617e-01	9.995425e-01	9.909730e-01	1.001097e+00
1.120000e+01	9.997030e-01	9.987526e-01	1.000235e+00	9.916240e-01	1.001343e+00	9.997491e-01	9.996466e-01	1.000077e+00	9.927797e-01	1.001226e+00
1.380000e+01	1.000250e+00	9.996083e-01	1.000653e+00	9.943012e-01	1.001491e+00	1.000177e+00	1.000113e+00	1.000437e+00	9.943957e-01	1.001359e+00
1.690000e+01	1.000723e+00	1.000392e+00	1.000966e+00	9.960418e-01	1.001621e+00	1.000581e+00	1.000471e+00	1.000857e+00	9.958746e-01	1.001457e+00
2.080000e+01	1.001167e+00	1.000973e+00	1.001218e+00	9.974633e-01	1.001756e+00	1.000986e+00	1.000861e+00	1.001049e+00	9.971689e-01	1.001529e+00
2.550000e+01	1.001481e+00	1.001282e+00	1.001512e+00	9.985577e-01	1.002229e+00	1.001289e+00	1.001114e+00	1.001332e+00	9.982217e-01	1.001945e+00
3.140000e+01	1.001634e+00	1.001507e+00	1.001673e+00	9.994128e-01	1.002845e+00	1.001464e+00	1.001267e+00	1.001499e+00	9.991093e-01	1.002565e+00
3.850000e+01	1.001712e+00	1.001570e+00	1.001822e+00	9.999331e-01	1.003256e+00	1.001578e+00	1.001417e+00	1.001605e+00	9.997248e-01	1.003031e+00
4.730000e+01	1.001731e+00	1.001553e+00	1.001957e+00	1.000148e+00	1.003384e+00	1.001637e+00	1.001546e+00	1.001687e+00	1.000070e+00	1.003249e+00
5.810000e+01	1.001671e+00	1.001485e+00	1.001913e+00	1.000094e+00	1.003360e+00	1.001634e+00	1.001555e+00	1.001681e+00	1.000127e+00	1.003295e+00
7.140000e+01	1.001655e+00	1.001365e+00	1.001774e+00	9.995912e-01	1.003049e+00	1.001528e+00	1.001492e+00	1.001594e+00	1.000018e+00	1.003214e+00
8.780000e+01	1.001231e+00	1.001150e+00	1.001555e+00	9.996890e-01	1.003137e+00	1.001321e+00	1.001283e+00	1.001433e+00	9.998063e-01	1.003162e+00
1.078000e+02	1.000934e+00	1.000823e+00	1.001238e+00	9.993308e-01	1.002789e+00	1.001070e+00	1.001023e+00	1.001185e+00	9.994840e-01	1.002866e+00
1.325000e+02	1.000589e+00	1.000401e+00	1.000800e+00	9.988698e-01	1.002291e+00	1.000762e+00	1.000623e+00	1.000845e+00	9.990439e-01	1.002409e+00
1.628000e+02	1.000140e+00	9.999057e-01	1.000272e+00	9.983761e-01	1.001767e+00	1.000346e+00	1.000138e+00	1.000437e+00	9.985764e-01	1.001924e+00
2.000000e+02	9.995711e-01	9.993460e-01	9.997087e-01	9.978525e-01	1.001232e+00	9.997913e-01	9.995811e-01	1.000030e+00	9.981035e-01	1.001415e+00
