# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	1.139900e-02	5.383829e-03	2.697092e-02	1.066336e-02	1.213464e-02	2.136616e-02	1.302211e-02	3.759314e-02	1.956843e-02	2.316388e-02
4.900000e+00	3.923048e-03	2.090901e-03	8.725279e-03	3.663208e-03	4.182887e-03	6.597471e-03	4.310645e-03	1.100965e-02	6.017368e-03	7.177574e-03
6.000000e+00	1.274396e-03	7.161154e-04	2.725950e-03	1.186208e-03	1.362585e-03	1.978627e-03	1.385448e-03	3.114414e-03	1.795186e-03	2.162068e-03
7.400000e+00	3.951356e-04	2.281369e-04	7.987575e-04	3.674148e-04	4.228563e-04	5.697439e-04	4.167180e-04	8.224899e-04	5.154600e-04	6.240278e-04
9.100000e+00	1.209939e-04	7.161119e-05	2.329251e-04	1.124134e-04	1.295745e-04	1.643637e-04	1.247548e-04	2.183403e-04	1.483906e-04	1.803369e-04
1.120000e+01	3.591809e-05	2.175696e-05	6.530723e-05	3.334948e-05	3.848669e-05	4.651697e-05	3.643667e-05	5.647999e-05	4.192289e-05	5.111105e-05
1.380000e+01	1.033535e-05	6.398863e-06	1.823304e-05	9.591822e-06	1.107887e-05	1.290325e-05	1.037704e-05	1.466857e-05	1.161776e-05	1.418874e-05
1.690000e+01	3.016271e-06	1.905132e-06	5.177798e-06	2.798513e-06	3.234029e-06	3.669439e-06	3.013845e-06	3.963628e-06	3.302616e-06	4.036261e-06
2.080000e+01	8.355967e-07	5.381503e-07	1.397529e-06	7.751727e-07	8.960208e-07	9.987545e-07	8.348121e-07	1.060664e-06	8.990244e-07	1.098485e-06
2.550000e+01	2.323307e-07	1.512063e-07	3.793504e-07	2.155368e-07	2.491246e-07	2.750469e-07	2.328982e-07	2.889095e-07	2.477612e-07	3.023325e-07
3.140000e+01	6.157406e-08	4.010374e-08	9.977423e-08	5.713184e-08	6.601628e-08	7.269657e-08	6.215173e-08	7.597651e-08	6.556653e-08	7.982661e-08
3.850000e+01	1.645293e-08	1.074149e-08	2.659905e-08	1.526892e-08	1.763693e-08	1.948968e-08	1.669776e-08	2.030491e-08	1.760816e-08	2.137119e-08
4.730000e+01	4.260792e-09	2.791891e-09	6.856838e-09	3.955055e-09	4.566528e-09	5.088154e-09	4.362407e-09	5.294176e-09	4.606561e-09	5.569747e-09
5.810000e+01	1.085383e-09	7.147486e-10	1.736430e-09	1.007563e-09	1.163203e-09	1.311804e-09	1.124204e-09	1.370375e-09	1.190362e-09	1.433246e-09
7.140000e+01	2.708917e-10	1.793476e-10	4.302311e-10	2.513807e-10	2.904026e-10	3.323792e-10	2.844308e-10	3.487562e-10	3.022741e-10	3.624842e-10
8.780000e+01	6.616864e-11	4.405124e-11	1.042727e-10	6.133335e-11	7.100393e-11	8.257446e-11	7.051699e-11	8.707919e-11	7.521085e-11	8.993806e-11
1.078000e+02	1.604456e-11	1.073761e-11	2.509512e-11	1.483653e-11	1.725259e-11	2.039874e-11	1.737170e-11	2.171669e-11	1.858459e-11	2.221290e-11
1.325000e+02	3.783823e-12	2.543365e-12	5.878286e-12	3.483966e-12	4.083680e-12	4.905836e-12	4.163953e-12	5.271239e-12	4.461721e-12	5.349951e-12
1.628000e+02	8.725579e-13	5.883547e-13	1.348290e-12	7.981116e-13	9.470042e-13	1.154361e-12	9.762972e-13	1.250290e-12	1.045232e-12	1.263489e-12
2.000000e+02	1.948557e-13	1.315495e-13	3.001959e-13	1.765950e-13	2.131164e-13	2.633092e-13	2.216934e-13	2.872364e-13	2.366599e-13	2.899585e-13
