# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	8.056507e-03	3.656036e-03	1.380536e-02	7.742178e-03	8.395095e-03	1.563106e-02	9.788124e-03	2.388500e-02	1.487585e-02	1.643577e-02
4.900000e+00	2.849490e-03	1.565553e-03	5.027813e-03	2.737715e-03	2.969913e-03	5.080785e-03	3.384987e-03	7.200653e-03	4.830816e-03	5.347640e-03
6.000000e+00	9.781783e-04	5.639280e-04	1.768145e-03	9.400457e-04	1.019304e-03	1.631510e-03	1.132765e-03	2.149234e-03	1.550751e-03	1.717824e-03
7.400000e+00	3.131444e-04	1.851241e-04	5.839240e-04	3.010598e-04	3.261971e-04	4.936920e-04	3.547847e-04	6.548069e-04	4.696542e-04	5.198050e-04
9.100000e+00	9.903597e-05	5.989742e-05	1.817463e-04	9.526651e-05	1.031143e-04	1.491155e-04	1.103571e-04	1.950257e-04	1.418124e-04	1.569479e-04
1.120000e+01	3.038946e-05	1.877642e-05	5.393254e-05	2.925316e-05	3.162172e-05	4.402017e-05	3.346295e-05	5.522658e-05	4.189938e-05	4.630307e-05
1.380000e+01	9.047214e-06	5.703139e-06	1.561877e-05	8.716153e-06	9.406966e-06	1.270217e-05	9.877796e-06	1.538105e-05	1.210299e-05	1.334813e-05
1.690000e+01	2.732088e-06	1.752861e-06	4.599388e-06	2.634633e-06	2.838279e-06	3.743499e-06	2.967502e-06	4.402939e-06	3.572109e-06	3.928480e-06
2.080000e+01	7.839498e-07	5.116741e-07	1.289440e-06	7.568417e-07	8.135793e-07	1.054138e-06	8.496878e-07	1.208029e-06	1.007252e-06	1.104964e-06
2.550000e+01	2.256899e-07	1.496920e-07	3.634168e-07	2.181560e-07	2.339537e-07	2.993844e-07	2.447794e-07	3.360813e-07	2.865956e-07	3.133301e-07
3.140000e+01	6.199201e-08	4.123982e-08	9.781104e-08	6.000963e-08	6.417490e-08	8.147426e-08	6.740911e-08	9.008170e-08	7.815780e-08	8.510711e-08
3.850000e+01	1.714539e-08	1.137619e-08	2.703463e-08	1.662352e-08	1.772262e-08	2.241483e-08	1.865986e-08	2.463641e-08	2.155179e-08	2.336467e-08
4.730000e+01	4.589694e-09	3.044402e-09	7.245080e-09	4.457863e-09	4.736391e-09	5.992046e-09	4.996130e-09	6.568119e-09	5.775856e-09	6.231255e-09
5.810000e+01	1.206623e-09	8.008931e-10	1.905057e-09	1.174246e-09	1.242956e-09	1.575935e-09	1.317215e-09	1.725451e-09	1.523196e-09	1.634674e-09
7.140000e+01	3.099505e-10	2.059328e-10	4.884993e-10	3.022472e-10	3.186918e-10	4.062308e-10	3.397125e-10	4.442604e-10	3.937526e-10	4.202421e-10
8.780000e+01	7.756119e-11	5.163717e-11	1.219426e-10	7.579071e-11	7.960086e-11	1.022459e-10	8.555931e-11	1.119149e-10	9.939095e-11	1.054885e-10
1.078000e+02	1.915713e-11	1.277677e-11	3.002467e-11	1.875022e-11	1.962456e-11	2.546155e-11	2.129878e-11	2.789769e-11	2.482036e-11	2.620008e-11
1.325000e+02	4.568823e-12	3.053430e-12	7.138295e-12	4.481169e-12	4.674054e-12	6.138324e-12	5.130228e-12	6.738568e-12	5.999104e-12	6.301712e-12
1.628000e+02	1.057362e-12	7.078258e-13	1.647692e-12	1.038511e-12	1.080612e-12	1.439140e-12	1.201103e-12	1.584140e-12	1.409656e-12	1.474763e-12
2.000000e+02	2.352839e-13	1.575861e-13	3.658964e-13	2.312773e-13	2.403478e-13	3.252895e-13	2.707358e-13	3.591502e-13	3.191341e-13	3.329657e-13
