# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	7.702491e-01	6.242420e-01	8.327886e-01	7.676056e-01	7.728927e-01	8.362639e-01	7.867018e-01	8.855301e-01	8.292285e-01	8.432993e-01
4.900000e+00	8.087606e-01	7.015506e-01	8.585025e-01	8.058770e-01	8.116442e-01	8.603342e-01	8.316367e-01	9.056858e-01	8.530770e-01	8.675913e-01
6.000000e+00	8.426885e-01	7.628665e-01	8.828750e-01	8.395114e-01	8.458656e-01	8.818966e-01	8.668017e-01	9.200123e-01	8.744893e-01	8.893039e-01
7.400000e+00	8.747785e-01	8.148871e-01	9.067587e-01	8.713447e-01	8.782122e-01	9.009892e-01	8.919389e-01	9.419196e-01	8.938131e-01	9.081653e-01
9.100000e+00	9.028086e-01	8.584587e-01	9.272194e-01	8.992311e-01	9.063860e-01	9.179466e-01	9.129666e-01	9.557057e-01	9.114032e-01	9.244900e-01
1.120000e+01	9.273997e-01	8.947712e-01	9.452286e-01	9.237865e-01	9.310128e-01	9.333800e-01	9.312985e-01	9.651841e-01	9.274434e-01	9.393166e-01
1.380000e+01	9.484495e-01	9.256851e-01	9.611032e-01	9.448938e-01	9.520053e-01	9.474928e-01	9.466524e-01	9.699625e-01	9.422738e-01	9.527119e-01
1.690000e+01	9.652216e-01	9.502532e-01	9.738762e-01	9.619444e-01	9.684988e-01	9.594726e-01	9.554577e-01	9.705831e-01	9.550845e-01	9.638608e-01
2.080000e+01	9.784846e-01	9.694131e-01	9.839472e-01	9.755373e-01	9.814318e-01	9.700077e-01	9.625238e-01	9.753291e-01	9.663621e-01	9.736534e-01
2.550000e+01	9.876959e-01	9.827558e-01	9.905891e-01	9.851161e-01	9.902757e-01	9.783218e-01	9.694832e-01	9.834917e-01	9.750959e-01	9.815476e-01
3.140000e+01	9.931708e-01	9.914385e-01	9.949521e-01	9.908688e-01	9.954727e-01	9.842078e-01	9.750911e-01	9.880937e-01	9.812205e-01	9.871950e-01
3.850000e+01	9.947228e-01	9.923397e-01	9.971334e-01	9.924122e-01	9.970334e-01	9.870195e-01	9.768984e-01	9.899195e-01	9.838652e-01	9.901739e-01
4.730000e+01	9.922333e-01	9.885562e-01	9.965196e-01	9.896571e-01	9.948095e-01	9.863355e-01	9.766925e-01	9.882006e-01	9.828239e-01	9.898471e-01
5.810000e+01	9.855699e-01	9.809550e-01	9.912118e-01	9.825273e-01	9.886125e-01	9.817155e-01	9.739440e-01	9.827795e-01	9.776840e-01	9.857470e-01
7.140000e+01	9.743948e-01	9.687466e-01	9.810359e-01	9.707684e-01	9.780212e-01	9.724284e-01	9.674892e-01	9.731532e-01	9.677934e-01	9.770634e-01
8.780000e+01	9.583095e-01	9.520340e-01	9.657317e-01	9.541185e-01	9.625004e-01	9.583521e-01	9.554030e-01	9.589863e-01	9.531541e-01	9.635501e-01
1.078000e+02	9.373572e-01	9.306334e-01	9.452251e-01	9.325562e-01	9.421583e-01	9.389878e-01	9.357181e-01	9.399808e-01	9.332121e-01	9.447635e-01
1.325000e+02	9.112967e-01	9.044327e-01	9.193618e-01	9.059290e-01	9.166645e-01	9.142605e-01	9.103840e-01	9.158382e-01	9.079696e-01	9.205514e-01
1.628000e+02	8.807521e-01	8.738551e-01	8.887199e-01	8.749610e-01	8.865433e-01	8.847922e-01	8.804870e-01	8.868268e-01	8.781513e-01	8.914331e-01
2.000000e+02	8.468465e-01	8.404360e-01	8.540043e-01	8.408275e-01	8.528656e-01	8.514475e-01	8.471415e-01	8.537414e-01	8.446598e-01	8.582352e-01
