# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	7.628525e-01	6.445257e-01	8.223042e-01	7.614708e-01	7.642521e-01	8.059189e-01	7.585124e-01	8.472690e-01	8.036316e-01	8.081763e-01
4.900000e+00	7.980571e-01	7.070006e-01	8.475515e-01	7.967318e-01	7.993921e-01	8.300894e-01	7.990625e-01	8.603038e-01	8.279983e-01	8.321793e-01
6.000000e+00	8.296814e-01	7.578194e-01	8.713422e-01	8.284003e-01	8.309653e-01	8.524310e-01	8.325880e-01	8.733683e-01	8.504830e-01	8.543923e-01
7.400000e+00	8.604025e-01	8.023757e-01	8.944551e-01	8.591740e-01	8.616235e-01	8.746022e-01	8.617283e-01	8.900999e-01	8.727041e-01	8.760320e-01
9.100000e+00	8.880838e-01	8.416497e-01	9.156836e-01	8.869183e-01	8.892335e-01	8.953276e-01	8.866717e-01	9.083941e-01	8.937759e-01	8.968594e-01
1.120000e+01	9.134461e-01	8.767174e-01	9.356192e-01	9.123449e-01	9.145188e-01	9.150523e-01	9.080287e-01	9.251848e-01	9.136778e-01	9.163508e-01
1.380000e+01	9.366770e-01	9.082900e-01	9.533188e-01	9.356357e-01	9.376905e-01	9.340655e-01	9.292946e-01	9.430646e-01	9.328538e-01	9.352251e-01
1.690000e+01	9.562138e-01	9.353279e-01	9.688738e-01	9.552452e-01	9.571505e-01	9.512282e-01	9.473609e-01	9.594165e-01	9.503298e-01	9.522445e-01
2.080000e+01	9.737528e-01	9.587518e-01	9.827449e-01	9.728274e-01	9.746486e-01	9.674342e-01	9.627865e-01	9.745228e-01	9.663901e-01	9.684261e-01
2.550000e+01	9.882050e-01	9.781837e-01	9.941076e-01	9.872372e-01	9.891432e-01	9.814782e-01	9.767301e-01	9.874002e-01	9.804634e-01	9.824671e-01
3.140000e+01	1.000003e+00	9.941480e-01	1.003235e+00	9.989501e-01	1.001050e+00	9.937811e-01	9.900123e-01	9.982978e-01	9.927056e-01	9.948448e-01
3.850000e+01	1.008594e+00	1.005910e+00	1.009689e+00	1.007349e+00	1.009875e+00	1.003509e+00	9.992362e-01	1.006491e+00	1.002265e+00	1.004776e+00
4.730000e+01	1.014175e+00	1.013529e+00	1.014415e+00	1.012614e+00	1.015811e+00	1.010602e+00	1.006696e+00	1.012570e+00	1.009075e+00	1.012203e+00
5.810000e+01	1.016761e+00	1.014806e+00	1.018508e+00	1.014749e+00	1.018903e+00	1.015263e+00	1.012621e+00	1.015567e+00	1.013302e+00	1.017339e+00
7.140000e+01	1.016366e+00	1.013475e+00	1.019338e+00	1.013740e+00	1.019190e+00	1.016420e+00	1.014874e+00	1.016473e+00	1.013874e+00	1.019156e+00
8.780000e+01	1.013090e+00	1.009655e+00	1.016881e+00	1.009657e+00	1.016797e+00	1.014222e+00	1.012414e+00	1.015222e+00	1.010896e+00	1.017813e+00
1.078000e+02	1.007191e+00	1.003526e+00	1.011406e+00	1.002954e+00	1.012303e+00	1.009512e+00	1.007140e+00	1.010644e+00	1.005204e+00	1.014181e+00
1.325000e+02	9.987998e-01	9.951525e-01	1.003143e+00	9.931334e-01	1.004944e+00	1.002078e+00	9.993560e-01	1.003655e+00	9.965519e-01	1.008062e+00
1.628000e+02	9.883299e-01	9.848666e-01	9.925247e-01	9.812047e-01	9.960562e-01	9.922164e-01	9.893470e-01	9.943486e-01	9.852357e-01	9.997824e-01
2.000000e+02	9.761101e-01	9.728523e-01	9.799340e-01	9.672469e-01	9.857442e-01	9.803145e-01	9.774812e-01	9.827524e-01	9.716475e-01	9.897017e-01
