# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	8.778880e-03	3.428286e-03	2.059118e-02	8.229885e-03	9.327876e-03	1.786025e-02	1.066813e-02	3.262252e-02	1.643799e-02	1.928251e-02
4.900000e+00	3.172382e-03	1.598992e-03	7.004306e-03	2.968288e-03	3.376477e-03	5.673839e-03	3.648839e-03	9.695874e-03	5.196721e-03	6.150957e-03
6.000000e+00	1.073779e-03	6.056589e-04	2.283130e-03	1.001333e-03	1.146225e-03	1.744307e-03	1.204465e-03	2.856186e-03	1.588429e-03	1.900186e-03
7.400000e+00	3.456158e-04	2.000982e-04	6.954491e-04	3.218824e-04	3.693493e-04	5.131775e-04	3.716870e-04	7.747194e-04	4.656274e-04	5.607277e-04
9.100000e+00	1.092239e-04	6.476525e-05	2.095680e-04	1.016044e-04	1.168435e-04	1.508412e-04	1.138969e-04	2.086690e-04	1.364814e-04	1.652010e-04
1.120000e+01	3.330810e-05	2.019596e-05	6.046985e-05	3.095232e-05	3.566387e-05	4.340993e-05	3.393341e-05	5.451359e-05	3.918875e-05	4.763112e-05
1.380000e+01	9.802161e-06	6.069291e-06	1.728360e-05	9.100760e-06	1.050356e-05	1.222464e-05	9.831724e-06	1.422796e-05	1.101481e-05	1.343447e-05
1.690000e+01	2.911353e-06	1.837891e-06	4.999119e-06	2.701006e-06	3.121700e-06	3.520689e-06	2.896280e-06	3.838080e-06	3.168684e-06	3.872694e-06
2.080000e+01	8.176424e-07	5.260497e-07	1.368769e-06	7.581140e-07	8.771707e-07	9.688646e-07	8.116908e-07	1.029898e-06	8.714516e-07	1.066278e-06
2.550000e+01	2.294865e-07	1.495809e-07	3.752393e-07	2.126905e-07	2.462825e-07	2.691222e-07	2.284324e-07	2.823843e-07	2.420588e-07	2.961855e-07
3.140000e+01	6.115945e-08	3.980500e-08	9.908591e-08	5.666602e-08	6.565289e-08	7.156301e-08	6.137650e-08	7.468442e-08	6.440355e-08	7.872246e-08
3.850000e+01	1.636813e-08	1.065921e-08	2.652280e-08	1.516274e-08	1.757352e-08	1.924155e-08	1.652474e-08	2.002253e-08	1.733590e-08	2.114720e-08
4.730000e+01	4.228311e-09	2.759942e-09	6.832974e-09	3.916607e-09	4.540015e-09	5.020028e-09	4.308582e-09	5.215579e-09	4.530572e-09	5.509484e-09
5.810000e+01	1.069887e-09	7.011362e-10	1.721170e-09	9.909036e-10	1.148871e-09	1.288191e-09	1.103680e-09	1.343828e-09	1.164979e-09	1.411404e-09
7.140000e+01	2.639951e-10	1.737423e-10	4.220721e-10	2.444318e-10	2.835584e-10	3.233053e-10	2.762275e-10	3.390744e-10	2.930224e-10	3.535882e-10
8.780000e+01	6.341795e-11	4.193828e-11	1.006994e-10	5.867241e-11	6.816350e-11	7.915433e-11	6.741018e-11	8.344784e-11	7.187713e-11	8.643154e-11
1.078000e+02	1.504070e-11	9.992781e-12	2.372054e-11	1.389045e-11	1.619094e-11	1.915751e-11	1.625502e-11	2.040825e-11	1.741298e-11	2.090205e-11
1.325000e+02	3.448222e-12	2.300303e-12	5.404271e-12	3.173897e-12	3.722548e-12	4.485599e-12	3.790796e-12	4.826263e-12	4.074125e-12	4.897074e-12
1.628000e+02	7.684446e-13	5.141367e-13	1.198252e-12	7.034426e-13	8.334467e-13	1.021344e-12	8.596170e-13	1.108342e-12	9.247344e-13	1.117953e-12
2.000000e+02	1.649824e-13	1.105590e-13	2.563685e-13	1.498032e-13	1.801616e-13	2.241614e-13	1.878056e-13	2.450694e-13	2.017138e-13	2.466090e-13
