# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	6.145926e-03	2.356409e-03	1.053145e-02	5.913914e-03	6.396424e-03	1.259736e-02	7.805037e-03	1.973293e-02	1.201662e-02	1.321594e-02
4.900000e+00	2.274055e-03	1.110669e-03	4.004376e-03	2.187445e-03	2.367537e-03	4.217506e-03	2.790117e-03	6.098037e-03	4.018179e-03	4.430335e-03
6.000000e+00	8.115764e-04	4.702763e-04	1.461674e-03	7.807734e-04	8.448380e-04	1.390750e-03	9.612393e-04	1.855385e-03	1.324299e-03	1.461805e-03
7.400000e+00	2.694302e-04	1.599714e-04	4.999508e-04	2.592757e-04	2.804054e-04	4.317841e-04	3.096009e-04	5.828436e-04	4.110693e-04	4.539607e-04
9.100000e+00	8.795224e-05	5.338547e-05	1.606480e-04	8.467217e-05	9.150208e-05	1.335072e-04	9.877295e-05	1.771601e-04	1.271204e-04	1.403549e-04
1.120000e+01	2.775914e-05	1.720627e-05	4.907666e-05	2.673858e-05	2.886557e-05	4.028076e-05	3.065736e-05	5.109479e-05	3.837251e-05	4.233049e-05
1.380000e+01	8.474317e-06	5.352783e-06	1.458185e-05	8.168478e-06	8.806569e-06	1.186466e-05	9.245425e-06	1.446409e-05	1.131195e-05	1.245950e-05
1.690000e+01	2.612460e-06	1.679069e-06	4.388997e-06	2.520169e-06	2.712946e-06	3.560922e-06	2.830071e-06	4.202480e-06	3.398789e-06	3.736352e-06
2.080000e+01	7.633733e-07	4.988530e-07	1.253571e-06	7.371212e-07	7.920341e-07	1.019809e-06	8.241337e-07	1.168156e-06	9.747533e-07	1.068569e-06
2.550000e+01	2.230279e-07	1.480398e-07	3.587557e-07	2.156028e-07	2.311582e-07	2.938393e-07	2.408337e-07	3.290051e-07	2.813327e-07	3.074622e-07
3.140000e+01	6.199216e-08	4.137323e-08	9.775595e-08	6.000766e-08	6.417349e-08	8.096759e-08	6.712618e-08	8.922232e-08	7.767112e-08	8.457266e-08
3.850000e+01	1.729273e-08	1.148585e-08	2.719442e-08	1.676466e-08	1.787604e-08	2.249347e-08	1.878099e-08	2.466065e-08	2.162506e-08	2.344753e-08
4.730000e+01	4.654753e-09	3.085588e-09	7.348991e-09	4.520277e-09	4.804480e-09	6.055577e-09	5.058933e-09	6.623173e-09	5.836031e-09	6.298068e-09
5.810000e+01	1.226848e-09	8.127508e-10	1.940167e-09	1.193642e-09	1.264216e-09	1.599989e-09	1.337000e-09	1.748955e-09	1.546100e-09	1.659989e-09
7.140000e+01	3.150232e-10	2.087078e-10	4.979459e-10	3.070907e-10	3.240817e-10	4.129010e-10	3.448369e-10	4.515274e-10	4.001084e-10	4.273122e-10
8.780000e+01	7.857647e-11	5.213574e-11	1.240011e-10	7.674334e-11	8.071127e-11	1.037000e-10	8.662144e-11	1.136184e-10	1.007647e-10	1.070548e-10
1.078000e+02	1.929488e-11	1.282183e-11	3.036712e-11	1.887566e-11	1.979598e-11	2.570372e-11	2.145085e-11	2.819463e-11	2.504111e-11	2.647631e-11
1.325000e+02	4.563339e-12	3.038629e-12	7.160733e-12	4.469567e-12	4.679067e-12	6.151077e-12	5.126924e-12	6.762421e-12	6.005670e-12	6.325613e-12
1.628000e+02	1.045023e-12	6.971139e-13	1.635375e-12	1.024090e-12	1.071671e-12	1.427939e-12	1.188308e-12	1.574475e-12	1.396304e-12	1.467337e-12
2.000000e+02	2.296630e-13	1.533080e-13	3.585544e-13	2.250071e-13	2.358115e-13	3.188860e-13	2.646392e-13	3.527002e-13	3.119954e-13	3.277570e-13
