# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	1.032591e-02	4.485535e-03	2.531885e-02	9.883936e-03	1.078051e-02	2.127889e-02	1.275517e-02	4.075899e-02	2.047861e-02	2.203676e-02
4.900000e+00	3.623803e-03	1.937115e-03	8.228826e-03	3.485747e-03	3.748885e-03	6.857473e-03	4.400853e-03	1.169218e-02	6.624069e-03	7.057126e-03
6.000000e+00	1.232488e-03	6.930840e-04	2.642919e-03	1.189560e-03	1.266891e-03	2.178320e-03	1.463368e-03	3.378466e-03	2.110674e-03	2.230883e-03
7.400000e+00	3.907366e-04	2.261111e-04	7.864177e-04	3.782549e-04	3.997810e-04	6.509140e-04	4.544307e-04	9.395684e-04	6.321862e-04	6.642225e-04
9.100000e+00	1.223714e-04	7.261622e-05	2.332561e-04	1.187599e-04	1.248207e-04	1.938211e-04	1.399339e-04	2.651427e-04	1.886764e-04	1.972612e-04
1.120000e+01	3.747990e-05	2.256109e-05	6.828288e-05	3.645204e-05	3.814315e-05	5.677905e-05	4.192834e-05	7.377908e-05	5.534882e-05	5.766177e-05
1.380000e+01	1.104480e-05	6.781548e-06	1.949971e-05	1.076243e-05	1.121888e-05	1.613778e-05	1.221364e-05	2.013870e-05	1.576241e-05	1.636701e-05
1.690000e+01	3.297302e-06	2.059080e-06	5.665009e-06	3.216697e-06	3.342915e-06	4.680364e-06	3.616276e-06	5.643822e-06	4.578210e-06	4.740636e-06
2.080000e+01	9.333383e-07	5.934714e-07	1.578746e-06	9.128187e-07	9.456552e-07	1.294904e-06	1.018981e-06	1.526207e-06	1.268472e-06	1.310157e-06
2.550000e+01	2.649745e-07	1.712064e-07	4.384532e-07	2.596182e-07	2.680647e-07	3.610477e-07	2.885464e-07	4.149402e-07	3.541905e-07	3.649583e-07
3.140000e+01	7.164403e-08	4.621144e-08	1.162265e-07	7.031662e-08	7.241731e-08	9.627844e-08	7.794427e-08	1.083260e-07	9.457861e-08	9.724699e-08
3.850000e+01	1.948691e-08	1.254286e-08	3.173172e-08	1.915195e-08	1.969413e-08	2.594263e-08	2.108860e-08	2.883382e-08	2.551393e-08	2.619678e-08
4.730000e+01	5.124351e-09	3.296236e-09	8.355833e-09	5.041070e-09	5.182373e-09	6.778420e-09	5.532096e-09	7.497390e-09	6.672596e-09	6.847907e-09
5.810000e+01	1.320962e-09	8.499320e-10	2.152693e-09	1.300078e-09	1.338187e-09	1.743244e-09	1.425915e-09	1.922603e-09	1.716994e-09	1.763384e-09
7.140000e+01	3.322596e-10	2.138896e-10	5.403462e-10	3.269761e-10	3.373824e-10	4.386275e-10	3.590648e-10	4.833318e-10	4.320678e-10	4.446145e-10
8.780000e+01	8.128604e-11	5.233006e-11	1.318272e-10	7.996246e-11	8.276473e-11	1.076591e-10	8.805600e-11	1.188061e-10	1.060328e-10	1.094262e-10
1.078000e+02	1.959646e-11	1.259858e-11	3.169695e-11	1.926817e-11	2.001149e-11	2.611622e-11	2.128763e-11	2.890211e-11	2.570843e-11	2.661358e-11
1.325000e+02	4.553711e-12	2.916937e-12	7.353548e-12	4.474576e-12	4.663557e-12	6.123110e-12	4.960360e-12	6.812435e-12	6.024201e-12	6.257668e-12
1.628000e+02	1.024282e-12	6.518227e-13	1.654659e-12	1.005836e-12	1.052183e-12	1.393479e-12	1.117739e-12	1.562464e-12	1.370012e-12	1.428045e-12
2.000000e+02	2.208106e-13	1.390129e-13	3.578607e-13	2.166516e-13	2.273942e-13	3.048123e-13	2.411212e-13	3.453581e-13	2.994542e-13	3.132398e-13
