# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	7.859818e-03	2.861073e-03	1.902933e-02	6.300657e-03	9.061508e-03	1.705426e-02	1.015212e-02	3.328222e-02	1.427168e-02	1.923066e-02
4.900000e+00	2.890385e-03	1.364846e-03	6.494141e-03	2.408271e-03	3.266381e-03	5.681315e-03	3.630236e-03	9.847116e-03	4.877571e-03	6.320347e-03
6.000000e+00	1.022594e-03	5.788486e-04	2.174148e-03	8.783436e-04	1.137159e-03	1.858156e-03	1.243897e-03	2.922908e-03	1.628678e-03	2.044012e-03
7.400000e+00	3.365666e-04	1.958837e-04	6.728587e-04	2.968411e-04	3.693826e-04	5.710416e-04	3.978626e-04	8.317601e-04	5.095300e-04	6.217806e-04
9.100000e+00	1.089272e-04	6.495536e-05	2.065124e-04	9.817124e-05	1.183359e-04	1.743886e-04	1.259404e-04	2.412910e-04	1.583154e-04	1.883472e-04
1.120000e+01	3.436588e-05	2.076426e-05	6.232691e-05	3.152096e-05	3.700415e-05	5.227149e-05	3.866911e-05	6.864898e-05	4.812377e-05	5.607846e-05
1.380000e+01	1.039291e-05	6.400054e-06	1.828677e-05	9.664805e-06	1.110503e-05	1.519309e-05	1.151693e-05	1.909255e-05	1.414980e-05	1.621250e-05
1.690000e+01	3.170904e-06	1.986266e-06	5.430320e-06	2.979717e-06	3.372330e-06	4.490122e-06	3.476323e-06	5.437104e-06	4.220843e-06	4.772449e-06
2.080000e+01	9.152894e-07	5.828606e-07	1.545172e-06	8.672292e-07	9.704007e-07	1.263620e-06	9.964753e-07	1.491847e-06	1.197005e-06	1.339161e-06
2.550000e+01	2.638034e-07	1.705996e-07	4.359576e-07	2.514233e-07	2.792112e-07	3.574041e-07	2.862407e-07	4.102830e-07	3.405236e-07	3.780578e-07
3.140000e+01	7.217666e-08	4.668374e-08	1.168958e-07	6.906315e-08	7.630256e-08	9.646673e-08	7.829099e-08	1.082467e-07	9.229667e-08	1.019063e-07
3.850000e+01	1.979368e-08	1.274584e-08	3.216548e-08	1.898346e-08	2.091320e-08	2.623095e-08	2.138450e-08	2.906772e-08	2.516552e-08	2.768817e-08
4.730000e+01	5.230864e-09	3.360436e-09	8.534638e-09	5.023145e-09	5.525795e-09	6.899994e-09	5.635184e-09	7.611730e-09	6.630392e-09	7.280136e-09
5.810000e+01	1.350853e-09	8.669551e-10	2.206807e-09	1.298175e-09	1.427378e-09	1.780020e-09	1.455122e-09	1.961305e-09	1.712140e-09	1.877783e-09
7.140000e+01	3.393692e-10	2.177614e-10	5.539230e-10	3.263461e-10	3.588096e-10	4.477358e-10	3.660423e-10	4.934945e-10	4.310977e-10	4.725780e-10
8.780000e+01	8.269739e-11	5.303024e-11	1.346965e-10	7.953214e-11	8.747830e-11	1.095872e-10	8.943895e-11	1.209724e-10	1.055094e-10	1.156999e-10
1.078000e+02	1.980557e-11	1.268032e-11	3.218495e-11	1.905792e-11	2.096673e-11	2.643529e-11	2.149300e-11	2.928001e-11	2.546492e-11	2.792844e-11
1.325000e+02	4.560723e-12	2.908983e-12	7.400122e-12	4.391674e-12	4.831934e-12	6.145716e-12	4.964184e-12	6.846035e-12	5.924135e-12	6.498018e-12
1.628000e+02	1.014162e-12	6.424518e-13	1.646122e-12	9.772727e-13	1.075234e-12	1.383263e-12	1.105883e-12	1.553282e-12	1.334322e-12	1.463629e-12
2.000000e+02	2.156083e-13	1.351181e-13	3.510184e-13	2.079131e-13	2.287186e-13	2.984302e-13	2.352046e-13	3.387192e-13	2.880622e-13	3.159958e-13
