# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	7.611743e-01	6.226654e-01	8.238403e-01	6.142224e-01	8.730383e-01	8.014640e-01	7.398110e-01	8.209578e-01	6.745546e-01	9.014297e-01
4.900000e+00	7.976112e-01	6.920549e-01	8.506652e-01	6.686109e-01	8.997027e-01	8.284852e-01	7.889530e-01	8.442670e-01	7.150082e-01	9.214996e-01
6.000000e+00	8.296983e-01	7.488233e-01	8.748216e-01	7.166767e-01	9.234394e-01	8.530225e-01	8.281012e-01	8.669687e-01	7.512959e-01	9.400254e-01
7.400000e+00	8.613645e-01	7.981047e-01	8.987274e-01	7.636999e-01	9.482917e-01	8.772920e-01	8.616550e-01	8.901964e-01	7.863101e-01	9.585809e-01
9.100000e+00	8.901360e-01	8.399062e-01	9.207262e-01	8.061246e-01	9.717021e-01	8.997397e-01	8.893607e-01	9.113959e-01	8.201437e-01	9.765549e-01
1.120000e+01	9.169150e-01	8.767220e-01	9.411176e-01	8.447297e-01	9.933407e-01	9.206122e-01	9.139136e-01	9.315054e-01	8.507745e-01	9.937177e-01
1.380000e+01	9.409777e-01	9.109088e-01	9.597225e-01	8.785536e-01	1.012424e+00	9.414613e-01	9.353912e-01	9.504038e-01	8.797660e-01	1.011359e+00
1.690000e+01	9.616661e-01	9.394415e-01	9.757537e-01	9.069482e-01	1.030416e+00	9.593531e-01	9.552970e-01	9.672203e-01	9.045027e-01	1.026861e+00
2.080000e+01	9.806621e-01	9.646960e-01	9.888741e-01	9.318229e-01	1.047379e+00	9.758400e-01	9.724037e-01	9.825448e-01	9.267219e-01	1.041533e+00
2.550000e+01	9.955803e-01	9.852928e-01	1.001286e+00	9.509969e-01	1.061167e+00	9.899082e-01	9.861078e-01	9.953552e-01	9.450825e-01	1.054312e+00
3.140000e+01	1.007434e+00	1.001822e+00	1.010221e+00	9.656094e-01	1.071828e+00	1.001956e+00	9.983477e-01	1.006330e+00	9.601969e-01	1.065142e+00
3.850000e+01	1.015742e+00	1.013670e+00	1.016308e+00	9.755568e-01	1.078895e+00	1.011114e+00	1.007506e+00	1.014031e+00	9.714071e-01	1.073067e+00
4.730000e+01	1.020786e+00	1.019477e+00	1.021399e+00	9.815383e-01	1.082495e+00	1.017935e+00	1.013703e+00	1.018874e+00	9.793523e-01	1.078470e+00
5.810000e+01	1.022629e+00	1.020029e+00	1.025138e+00	9.840523e-01	1.082708e+00	1.021096e+00	1.017525e+00	1.021456e+00	9.833139e-01	1.079905e+00
7.140000e+01	1.021398e+00	1.018102e+00	1.025126e+00	9.836860e-01	1.079669e+00	1.020765e+00	1.019433e+00	1.021431e+00	9.840923e-01	1.078002e+00
8.780000e+01	1.017363e+00	1.013380e+00	1.021765e+00	9.802260e-01	1.073280e+00	1.017910e+00	1.015705e+00	1.018863e+00	9.815300e-01	1.072555e+00
1.078000e+02	1.010671e+00	1.006488e+00	1.015396e+00	9.746661e-01	1.064141e+00	1.012217e+00	1.009647e+00	1.013127e+00	9.768737e-01	1.064799e+00
1.325000e+02	1.001540e+00	9.972733e-01	1.006334e+00	9.669730e-01	1.052316e+00	1.003692e+00	1.000771e+00	1.005133e+00	9.696607e-01	1.053738e+00
1.628000e+02	9.901198e-01	9.856235e-01	9.948408e-01	9.571226e-01	1.037838e+00	9.926685e-01	9.893933e-01	9.943674e-01	9.601430e-01	1.039939e+00
2.000000e+02	9.764398e-01	9.719827e-01	9.808799e-01	9.452507e-01	1.021113e+00	9.790622e-01	9.754624e-01	9.811022e-01	9.481986e-01	1.023393e+00
