# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	9.599938e-01	9.053935e-01	9.825762e-01	9.299818e-01	9.992612e-01	9.765264e-01	9.551291e-01	9.846361e-01	9.489758e-01	1.012420e+00
4.900000e+00	9.750392e-01	9.357319e-01	9.934065e-01	9.468217e-01	1.011369e+00	9.871317e-01	9.739371e-01	9.937781e-01	9.611153e-01	1.020804e+00
6.000000e+00	9.871360e-01	9.593904e-01	1.002960e+00	9.606929e-01	1.021041e+00	9.950126e-01	9.885762e-01	1.001613e+00	9.706617e-01	1.026762e+00
7.400000e+00	9.989934e-01	9.783887e-01	1.011829e+00	9.740787e-01	1.030602e+00	1.005428e+00	9.994287e-01	1.011114e+00	9.819898e-01	1.035111e+00
9.100000e+00	1.009522e+00	9.940713e-01	1.019857e+00	9.859144e-01	1.039335e+00	1.012476e+00	1.010748e+00	1.019021e+00	9.905540e-01	1.040950e+00
1.120000e+01	1.019354e+00	1.007451e+00	1.027408e+00	9.967037e-01	1.047763e+00	1.021031e+00	1.018752e+00	1.025928e+00	9.996996e-01	1.047888e+00
1.380000e+01	1.028027e+00	1.019372e+00	1.034210e+00	1.006066e+00	1.055361e+00	1.027815e+00	1.026866e+00	1.031239e+00	1.007283e+00	1.053793e+00
1.690000e+01	1.035557e+00	1.028758e+00	1.040076e+00	1.013991e+00	1.062102e+00	1.033746e+00	1.031916e+00	1.036190e+00	1.013873e+00	1.058854e+00
2.080000e+01	1.042122e+00	1.038116e+00	1.044499e+00	1.020762e+00	1.068214e+00	1.039164e+00	1.036804e+00	1.041125e+00	1.019789e+00	1.063449e+00
2.550000e+01	1.048354e+00	1.046689e+00	1.049195e+00	1.027110e+00	1.073979e+00	1.043735e+00	1.040782e+00	1.045563e+00	1.024663e+00	1.067286e+00
3.140000e+01	1.052636e+00	1.051144e+00	1.053579e+00	1.030930e+00	1.077551e+00	1.047549e+00	1.044224e+00	1.049031e+00	1.028497e+00	1.070226e+00
3.850000e+01	1.055520e+00	1.052131e+00	1.058233e+00	1.032879e+00	1.079036e+00	1.050032e+00	1.045988e+00	1.051193e+00	1.030571e+00	1.071402e+00
4.730000e+01	1.056458e+00	1.051168e+00	1.060788e+00	1.033014e+00	1.077793e+00	1.050904e+00	1.045960e+00	1.051965e+00	1.031027e+00	1.070602e+00
5.810000e+01	1.054402e+00	1.047755e+00	1.061072e+00	1.031335e+00	1.073283e+00	1.050167e+00	1.044451e+00	1.050559e+00	1.030049e+00	1.067169e+00
7.140000e+01	1.048832e+00	1.041427e+00	1.057358e+00	1.026682e+00	1.065054e+00	1.045804e+00	1.041675e+00	1.046432e+00	1.026225e+00	1.060769e+00
8.780000e+01	1.040088e+00	1.031714e+00	1.049910e+00	1.019451e+00	1.054071e+00	1.038569e+00	1.034549e+00	1.039497e+00	1.019955e+00	1.051717e+00
1.078000e+02	1.027492e+00	1.018403e+00	1.038323e+00	1.008731e+00	1.041000e+00	1.027631e+00	1.023980e+00	1.028997e+00	1.010241e+00	1.040475e+00
1.325000e+02	1.010719e+00	1.001182e+00	1.022100e+00	9.901666e-01	1.025562e+00	1.012463e+00	1.007932e+00	1.014240e+00	9.934232e-01	1.026535e+00
1.628000e+02	9.896901e-01	9.799428e-01	1.001375e+00	9.630744e-01	1.006931e+00	9.929880e-01	9.878219e-01	9.951732e-01	9.683531e-01	1.009248e+00
2.000000e+02	9.652448e-01	9.554491e-01	9.765229e-01	9.302369e-01	9.857935e-01	9.694498e-01	9.635319e-01	9.722266e-01	9.370145e-01	9.888863e-01
