# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	1.079011e-02	4.651737e-03	2.680056e-02	1.055935e-02	1.102063e-02	2.227088e-02	1.339869e-02	4.332888e-02	2.184251e-02	2.269683e-02
4.900000e+00	3.800234e-03	2.028907e-03	8.648224e-03	3.723933e-03	3.874165e-03	7.203586e-03	4.617825e-03	1.229153e-02	7.072713e-03	7.331418e-03
6.000000e+00	1.293704e-03	7.266807e-04	2.772062e-03	1.268900e-03	1.316837e-03	2.287361e-03	1.531747e-03	3.536125e-03	2.247004e-03	2.325015e-03
7.400000e+00	4.101811e-04	2.371219e-04	8.234989e-04	4.028838e-04	4.169334e-04	6.814242e-04	4.752957e-04	9.860065e-04	6.703815e-04	6.919869e-04
9.100000e+00	1.283829e-04	7.610580e-05	2.449030e-04	1.262326e-04	1.303458e-04	2.027053e-04	1.462109e-04	2.780527e-04	1.995628e-04	2.055616e-04
1.120000e+01	3.927588e-05	2.360626e-05	7.171475e-05	3.864710e-05	3.983983e-05	5.922209e-05	4.371944e-05	7.709230e-05	5.833303e-05	6.002534e-05
1.380000e+01	1.154236e-05	7.075665e-06	2.042091e-05	1.136210e-05	1.170037e-05	1.678316e-05	1.270105e-05	2.095297e-05	1.653803e-05	1.700018e-05
1.690000e+01	3.432078e-06	2.141487e-06	5.909604e-06	3.379406e-06	3.477530e-06	4.849927e-06	3.747116e-06	5.827915e-06	4.780582e-06	4.910398e-06
2.080000e+01	9.668814e-07	6.136521e-07	1.639660e-06	9.520879e-07	9.793549e-07	1.335596e-06	1.050620e-06	1.566950e-06	1.316719e-06	1.351693e-06
2.550000e+01	2.723372e-07	1.747858e-07	4.518467e-07	2.681175e-07	2.757698e-07	3.702417e-07	2.956546e-07	4.230391e-07	3.650051e-07	3.745992e-07
3.140000e+01	7.294152e-08	4.661679e-08	1.196881e-07	7.178790e-08	7.384774e-08	9.800773e-08	7.912028e-08	1.099210e-07	9.661218e-08	9.914936e-08
3.850000e+01	1.961023e-08	1.251392e-08	3.231766e-08	1.929948e-08	1.986590e-08	2.617410e-08	2.119173e-08	2.914991e-08	2.579519e-08	2.647233e-08
4.730000e+01	5.088809e-09	3.247611e-09	8.393921e-09	5.007224e-09	5.156661e-09	6.770587e-09	5.496032e-09	7.509650e-09	6.671370e-09	6.848269e-09
5.810000e+01	1.292460e-09	8.260275e-10	2.128092e-09	1.272344e-09	1.310096e-09	1.719215e-09	1.398343e-09	1.904707e-09	1.695368e-09	1.740270e-09
7.140000e+01	3.199827e-10	2.048650e-10	5.247040e-10	3.152616e-10	3.243822e-10	4.267083e-10	3.472460e-10	4.728568e-10	4.209548e-10	4.319929e-10
8.780000e+01	7.701468e-11	4.946036e-11	1.256194e-10	7.602435e-11	7.809411e-11	1.032455e-10	8.404045e-11	1.146443e-10	1.019954e-10	1.045609e-10
1.078000e+02	1.828455e-11	1.179798e-11	2.965294e-11	1.808766e-11	1.854102e-11	2.468604e-11	2.013447e-11	2.749921e-11	2.443106e-11	2.500723e-11
1.325000e+02	4.192282e-12	2.712102e-12	6.765466e-12	4.151837e-12	4.250532e-12	5.709997e-12	4.654444e-12	6.394492e-12	5.658312e-12	5.784907e-12
1.628000e+02	9.334034e-13	6.034525e-13	1.501675e-12	9.226808e-13	9.467998e-13	1.284925e-12	1.042982e-12	1.449333e-12	1.271953e-12	1.302331e-12
2.000000e+02	2.006160e-13	1.285917e-13	3.217196e-13	1.974831e-13	2.039046e-13	2.799484e-13	2.244182e-13	3.172857e-13	2.760847e-13	2.841743e-13
