# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	9.763523e-03	4.401026e-03	2.382964e-02	8.745636e-03	1.078141e-02	2.015598e-02	1.206362e-02	3.833584e-02	1.833272e-02	2.197923e-02
4.900000e+00	3.409791e-03	1.842906e-03	7.728317e-03	3.098692e-03	3.720891e-03	6.479954e-03	4.160000e-03	1.103985e-02	5.960858e-03	6.999051e-03
6.000000e+00	1.157260e-03	6.516128e-04	2.475983e-03	1.063654e-03	1.250867e-03	2.057648e-03	1.383484e-03	3.197535e-03	1.910468e-03	2.204829e-03
7.400000e+00	3.674440e-04	2.130959e-04	7.373434e-04	3.411932e-04	3.936948e-04	6.158306e-04	4.302594e-04	8.874447e-04	5.765292e-04	6.551321e-04
9.100000e+00	1.155022e-04	6.869952e-05	2.196468e-04	1.082332e-04	1.227713e-04	1.841176e-04	1.329278e-04	2.519850e-04	1.737055e-04	1.945296e-04
1.120000e+01	3.556206e-05	2.144551e-05	6.447681e-05	3.360979e-05	3.751433e-05	5.415601e-05	4.001900e-05	7.046237e-05	5.147944e-05	5.683258e-05
1.380000e+01	1.055315e-05	6.492335e-06	1.855479e-05	1.005541e-05	1.105089e-05	1.548301e-05	1.172748e-05	1.936531e-05	1.482114e-05	1.614487e-05
1.690000e+01	3.175537e-06	1.988866e-06	5.432681e-06	3.048734e-06	3.302340e-06	4.520026e-06	3.496082e-06	5.468263e-06	4.355035e-06	4.685016e-06
2.080000e+01	9.077638e-07	5.783952e-07	1.529827e-06	8.778340e-07	9.376935e-07	1.259842e-06	9.927807e-07	1.489624e-06	1.221282e-06	1.298401e-06
2.550000e+01	2.601513e-07	1.684072e-07	4.291508e-07	2.531168e-07	2.671859e-07	3.540570e-07	2.834411e-07	4.077252e-07	3.450337e-07	3.630803e-07
3.140000e+01	7.103250e-08	4.617418e-08	1.148386e-07	6.939560e-08	7.266940e-08	9.522381e-08	7.725655e-08	1.072606e-07	9.314844e-08	9.729918e-08
3.850000e+01	1.950629e-08	1.263623e-08	3.147500e-08	1.906806e-08	1.994452e-08	2.587780e-08	2.113724e-08	2.870712e-08	2.534216e-08	2.641344e-08
4.730000e+01	5.176979e-09	3.346335e-09	8.380799e-09	5.044484e-09	5.309475e-09	6.822818e-09	5.590071e-09	7.526145e-09	6.667216e-09	6.978421e-09
5.810000e+01	1.345670e-09	8.686987e-10	2.181000e-09	1.303510e-09	1.387830e-09	1.768465e-09	1.451518e-09	1.945235e-09	1.719696e-09	1.817234e-09
7.140000e+01	3.407456e-10	2.197948e-10	5.521598e-10	3.277270e-10	3.537643e-10	4.480324e-10	3.677627e-10	4.924860e-10	4.328393e-10	4.632254e-10
8.780000e+01	8.378851e-11	5.397992e-11	1.356006e-10	7.997100e-11	8.760601e-11	1.105861e-10	9.060861e-11	1.217442e-10	1.060686e-10	1.151036e-10
1.078000e+02	2.025836e-11	1.302102e-11	3.273971e-11	1.918853e-11	2.132819e-11	2.691604e-11	2.196458e-11	2.973801e-11	2.563012e-11	2.820197e-11
1.325000e+02	4.709872e-12	3.014273e-12	7.608033e-12	4.427274e-12	4.992470e-12	6.317770e-12	5.121046e-12	7.017614e-12	5.972523e-12	6.663017e-12
1.628000e+02	1.057172e-12	6.719413e-13	1.710148e-12	9.853787e-13	1.128966e-12	1.435592e-12	1.151785e-12	1.607878e-12	1.347177e-12	1.524007e-12
2.000000e+02	2.267215e-13	1.426186e-13	3.684628e-13	2.089213e-13	2.445216e-13	3.126233e-13	2.473733e-13	3.540453e-13	2.907998e-13	3.344467e-13
