# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	9.558635e-01	9.378780e-01	9.631409e-01	8.559476e-01	1.055779e+00	9.623009e-01	9.500259e-01	9.632961e-01	8.747462e-01	1.049856e+00
4.900000e+00	9.601511e-01	9.432366e-01	9.678172e-01	8.715382e-01	1.048764e+00	9.661978e-01	9.565392e-01	9.671615e-01	8.879600e-01	1.044436e+00
6.000000e+00	9.645122e-01	9.494899e-01	9.718451e-01	8.854510e-01	1.043573e+00	9.699739e-01	9.628777e-01	9.716643e-01	8.998516e-01	1.040096e+00
7.400000e+00	9.693221e-01	9.558865e-01	9.765236e-01	8.994338e-01	1.039210e+00	9.736237e-01	9.689086e-01	9.753019e-01	9.110926e-01	1.036155e+00
9.100000e+00	9.743339e-01	9.623086e-01	9.812528e-01	9.129641e-01	1.035704e+00	9.779743e-01	9.735816e-01	9.796648e-01	9.227853e-01	1.033163e+00
1.120000e+01	9.796089e-01	9.687792e-01	9.861251e-01	9.264362e-01	1.032782e+00	9.823938e-01	9.799158e-01	9.846440e-01	9.345179e-01	1.030270e+00
1.380000e+01	9.850138e-01	9.753871e-01	9.911311e-01	9.397997e-01	1.030228e+00	9.868492e-01	9.851519e-01	9.887335e-01	9.457501e-01	1.027948e+00
1.690000e+01	9.904547e-01	9.819315e-01	9.960827e-01	9.526982e-01	1.028211e+00	9.913534e-01	9.900807e-01	9.941358e-01	9.566791e-01	1.026028e+00
2.080000e+01	9.961911e-01	9.897048e-01	1.000245e+00	9.654913e-01	1.026891e+00	9.960654e-01	9.953493e-01	9.989016e-01	9.674343e-01	1.024697e+00
2.550000e+01	1.002084e+00	9.963714e-01	1.005793e+00	9.771818e-01	1.026986e+00	1.000792e+00	1.000177e+00	1.002649e+00	9.772137e-01	1.024370e+00
3.140000e+01	1.007972e+00	1.003383e+00	1.011182e+00	9.864057e-01	1.029539e+00	1.005740e+00	1.004722e+00	1.007989e+00	9.854230e-01	1.026057e+00
3.850000e+01	1.013513e+00	1.010008e+00	1.015849e+00	9.915000e-01	1.035526e+00	1.010571e+00	1.009100e+00	1.012733e+00	9.904912e-01	1.030652e+00
4.730000e+01	1.018807e+00	1.016365e+00	1.020142e+00	9.927211e-01	1.044893e+00	1.015376e+00	1.013524e+00	1.017251e+00	9.922749e-01	1.038478e+00
5.810000e+01	1.023508e+00	1.022114e+00	1.023837e+00	9.911061e-01	1.055910e+00	1.019739e+00	1.017607e+00	1.021262e+00	9.912961e-01	1.048182e+00
7.140000e+01	1.027125e+00	1.026370e+00	1.027100e+00	9.875790e-01	1.066671e+00	1.023392e+00	1.020586e+00	1.024460e+00	9.883399e-01	1.058443e+00
8.780000e+01	1.029336e+00	1.027516e+00	1.030214e+00	9.823421e-01	1.076330e+00	1.025841e+00	1.022762e+00	1.026397e+00	9.838135e-01	1.067868e+00
1.078000e+02	1.029548e+00	1.026713e+00	1.031534e+00	9.753784e-01	1.083717e+00	1.026725e+00	1.023554e+00	1.026908e+00	9.778510e-01	1.075599e+00
1.325000e+02	1.027029e+00	1.023396e+00	1.030171e+00	9.659591e-01	1.088098e+00	1.025158e+00	1.022440e+00	1.025033e+00	9.696581e-01	1.080658e+00
1.628000e+02	1.021128e+00	1.016965e+00	1.025573e+00	9.526396e-01	1.089616e+00	1.020395e+00	1.018620e+00	1.020554e+00	9.584031e-01	1.082386e+00
2.000000e+02	1.011132e+00	1.006876e+00	1.017165e+00	9.328637e-01	1.089399e+00	1.011786e+00	1.009676e+00	1.012778e+00	9.423254e-01	1.081246e+00
