# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	1.022560e-02	4.691325e-03	2.502445e-02	9.757089e-03	1.069412e-02	2.096198e-02	1.258332e-02	3.982376e-02	2.017011e-02	2.175386e-02
4.900000e+00	3.553811e-03	1.941618e-03	8.072928e-03	3.432602e-03	3.675019e-03	6.710132e-03	4.318153e-03	1.141469e-02	6.513513e-03	6.906751e-03
6.000000e+00	1.200391e-03	6.767363e-04	2.573262e-03	1.168749e-03	1.232033e-03	2.122077e-03	1.429524e-03	3.290782e-03	2.072403e-03	2.171751e-03
7.400000e+00	3.791852e-04	2.199059e-04	7.618769e-04	3.710696e-04	3.873008e-04	6.326614e-04	4.425211e-04	9.105698e-04	6.202222e-04	6.451007e-04
9.100000e+00	1.185682e-04	7.050316e-05	2.257702e-04	1.163222e-04	1.208143e-04	1.882932e-04	1.360704e-04	2.573325e-04	1.850271e-04	1.915594e-04
1.120000e+01	3.630741e-05	2.190418e-05	6.589838e-05	3.565195e-05	3.696287e-05	5.513259e-05	4.076697e-05	7.156127e-05	5.422670e-05	5.603847e-05
1.380000e+01	1.071487e-05	6.593094e-06	1.885331e-05	1.052410e-05	1.090563e-05	1.569074e-05	1.188754e-05	1.960809e-05	1.543771e-05	1.594378e-05
1.690000e+01	3.206434e-06	2.008349e-06	5.493114e-06	3.149785e-06	3.263083e-06	4.559807e-06	3.526463e-06	5.500519e-06	4.486761e-06	4.632853e-06
2.080000e+01	9.113129e-07	5.801471e-07	1.537490e-06	8.955056e-07	9.271203e-07	1.264913e-06	9.963238e-07	1.491262e-06	1.244807e-06	1.285018e-06
2.550000e+01	2.596324e-07	1.679578e-07	4.283992e-07	2.553076e-07	2.639572e-07	3.538040e-07	2.830202e-07	4.067044e-07	3.482963e-07	3.593117e-07
3.140000e+01	7.047700e-08	4.566357e-08	1.139616e-07	6.936533e-08	7.158866e-08	9.468800e-08	7.678558e-08	1.065538e-07	9.326609e-08	9.610991e-08
3.850000e+01	1.924802e-08	1.243909e-08	3.116310e-08	1.896253e-08	1.953352e-08	2.560932e-08	2.087149e-08	2.844824e-08	2.524212e-08	2.597652e-08
4.730000e+01	5.081912e-09	3.280265e-09	8.245858e-09	5.010825e-09	5.152998e-09	6.720119e-09	5.495270e-09	7.425722e-09	6.628185e-09	6.812054e-09
5.810000e+01	1.314894e-09	8.485305e-10	2.133814e-09	1.297156e-09	1.332633e-09	1.734399e-09	1.421299e-09	1.911411e-09	1.711482e-09	1.757316e-09
7.140000e+01	3.317806e-10	2.141477e-10	5.377011e-10	3.272880e-10	3.362733e-10	4.378343e-10	3.589821e-10	4.822186e-10	4.320736e-10	4.435949e-10
8.780000e+01	8.140887e-11	5.253437e-11	1.316238e-10	8.025502e-11	8.256272e-11	1.078108e-10	8.828256e-11	1.189013e-10	1.063443e-10	1.092773e-10
1.078000e+02	1.967899e-11	1.268223e-11	3.173885e-11	1.937780e-11	1.998018e-11	2.621793e-11	2.139900e-11	2.901370e-11	2.583744e-11	2.659841e-11
1.325000e+02	4.586402e-12	2.945362e-12	7.385212e-12	4.509093e-12	4.663711e-12	6.163312e-12	5.000272e-12	6.854374e-12	6.065694e-12	6.260929e-12
1.628000e+02	1.035411e-12	6.607321e-13	1.667505e-12	1.016048e-12	1.054774e-12	1.407034e-12	1.130564e-12	1.576602e-12	1.382424e-12	1.431645e-12
2.000000e+02	2.242510e-13	1.416446e-13	3.622450e-13	2.195450e-13	2.289570e-13	3.090122e-13	2.450026e-13	3.497421e-13	3.029780e-13	3.150463e-13
