# pT	yLO	yLOminus	yLOplus	yNLO	yNLOminus	yNLOplus
4.000000e+00	7.739276e-01	6.631624e-01	8.305689e-01	8.155687e-01	7.756992e-01	8.571092e-01
4.900000e+00	8.084701e-01	7.225130e-01	8.553301e-01	8.377063e-01	8.129175e-01	8.673998e-01
6.000000e+00	8.389815e-01	7.714630e-01	8.785996e-01	8.585477e-01	8.422185e-01	8.775000e-01
7.400000e+00	8.687806e-01	8.142441e-01	9.011482e-01	8.795740e-01	8.689499e-01	8.947828e-01
9.100000e+00	8.955483e-01	8.517977e-01	9.218318e-01	8.995161e-01	8.922692e-01	9.116902e-01
1.120000e+01	9.200342e-01	8.853364e-01	9.409505e-01	9.178148e-01	9.130034e-01	9.292443e-01
1.380000e+01	9.422301e-01	9.155134e-01	9.587065e-01	9.375371e-01	9.320674e-01	9.472988e-01
1.690000e+01	9.613951e-01	9.413469e-01	9.736673e-01	9.546049e-01	9.492119e-01	9.634916e-01
2.080000e+01	9.783914e-01	9.638422e-01	9.872419e-01	9.708292e-01	9.649444e-01	9.785658e-01
2.550000e+01	9.925269e-01	9.826069e-01	9.984588e-01	9.851198e-01	9.795855e-01	9.915014e-01
3.140000e+01	1.004200e+00	9.981880e-01	1.007609e+00	9.977249e-01	9.930247e-01	1.002578e+00
3.850000e+01	1.012906e+00	1.009904e+00	1.014229e+00	1.007868e+00	1.003202e+00	1.011473e+00
4.730000e+01	1.018851e+00	1.018228e+00	1.018963e+00	1.016012e+00	1.011648e+00	1.017315e+00
5.810000e+01	1.022026e+00	1.020449e+00	1.023217e+00	1.020876e+00	1.018358e+00	1.021151e+00
7.140000e+01	1.022551e+00	1.020077e+00	1.024993e+00	1.022977e+00	1.021707e+00	1.023050e+00
8.780000e+01	1.020577e+00	1.017596e+00	1.023814e+00	1.022000e+00	1.020107e+00	1.023114e+00
1.078000e+02	1.016389e+00	1.013433e+00	1.020031e+00	1.018887e+00	1.016659e+00	1.020065e+00
1.325000e+02	1.010220e+00	1.007106e+00	1.014216e+00	1.013456e+00	1.010965e+00	1.015112e+00
1.628000e+02	1.002437e+00	9.995113e-01	1.006023e+00	1.006078e+00	1.003556e+00	1.008186e+00
2.000000e+02	9.935506e-01	9.904775e-01	9.967865e-01	9.971369e-01	9.946426e-01	9.993888e-01
