# pT	yLO	yLOminus	yLOplus	yNLO	yNLOminus	yNLOplus
4.112700e+00	8.507835e-03	3.885294e-03	2.065209e-02	1.718804e-02	1.042218e-02	3.228928e-02
4.500000e+00	5.347542e-03	2.681856e-03	1.254739e-02	1.039020e-02	6.501983e-03	1.853005e-02
4.887300e+00	3.469396e-03	1.877475e-03	7.892432e-03	6.528756e-03	4.190143e-03	1.111671e-02
5.112700e+00	2.732890e-03	1.499773e-03	6.108951e-03	5.061122e-03	3.283358e-03	8.399090e-03
5.500000e+00	1.850975e-03	1.026920e-03	4.023451e-03	3.344941e-03	2.206852e-03	5.326726e-03
5.887300e+00	1.282540e-03	7.186928e-04	2.720939e-03	2.267577e-03	1.517534e-03	3.487353e-03
6.225400e+00	9.466880e-04	5.347977e-04	2.007898e-03	1.645273e-03	1.114490e-03	2.500966e-03
7.000000e+00	4.967927e-04	2.851916e-04	1.016832e-03	8.360174e-04	5.782832e-04	1.224832e-03
7.774600e+00	2.767829e-04	1.610562e-04	5.500832e-04	4.531897e-04	3.192420e-04	6.452404e-04
8.225400e+00	2.015778e-04	1.181127e-04	3.946199e-04	3.255343e-04	2.314577e-04	4.567163e-04
9.000000e+00	1.209991e-04	7.165927e-05	2.314533e-04	1.913649e-04	1.380157e-04	2.622608e-04
9.774600e+00	7.601446e-05	4.509378e-05	1.417398e-04	1.178371e-04	8.556676e-05	1.574289e-04
1.033810e+01	5.504408e-05	3.284549e-05	1.016252e-04	8.435064e-05	6.172804e-05	1.113250e-04
1.150000e+01	2.965504e-05	1.788711e-05	5.385387e-05	4.457052e-05	3.303941e-05	5.751243e-05
1.266190e+01	1.686404e-05	1.026643e-05	3.017366e-05	2.492624e-05	1.869054e-05	3.154839e-05
1.378890e+01	1.018400e-05	6.249274e-06	1.799666e-05	1.485013e-05	1.124187e-05	1.852628e-05
1.650000e+01	3.473616e-06	2.165721e-06	5.996123e-06	4.943450e-06	3.811665e-06	5.971865e-06
1.921110e+01	1.378266e-06	8.704593e-07	2.353977e-06	1.926949e-06	1.506414e-06	2.291666e-06
2.112700e+01	7.687136e-07	4.892447e-07	1.298763e-06	1.064596e-06	8.387393e-07	1.249618e-06
2.500000e+01	2.703116e-07	1.741974e-07	4.483750e-07	3.690316e-07	2.944367e-07	4.242975e-07
2.887300e+01	1.092697e-07	7.021625e-08	1.785824e-07	1.477215e-07	1.189991e-07	1.672533e-07
3.225400e+01	5.407064e-08	3.469452e-08	8.831911e-08	7.265491e-08	5.870486e-08	8.146407e-08
4.000000e+01	1.353519e-08	8.671525e-09	2.217148e-08	1.802275e-08	1.463175e-08	2.004027e-08
4.774600e+01	4.258042e-09	2.727684e-09	6.977921e-09	5.647037e-09	4.597041e-09	6.254082e-09
