# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.112700e+00	1.060138e-01	4.628095e-03	2.192354e-02	-8.605180e-01	1.072546e+00	-1.367071e+00	1.051628e-02	2.996130e-02	-1.520557e+01	1.247143e+01
4.500000e+00	6.576995e+00	3.050435e-03	1.329261e-02	-5.912262e+01	7.227661e+01	-9.228314e+01	6.441701e-03	1.734773e-02	-1.015045e+03	8.304785e+02
4.887300e+00	3.746193e-03	1.992083e-03	8.338123e-03	3.498956e-03	3.993429e-03	6.189892e-03	4.081810e-03	1.043265e-02	5.554779e-03	6.825005e-03
5.112700e+00	2.862026e-03	1.572648e-03	6.442461e-03	2.665333e-03	3.058718e-03	4.705895e-03	3.176787e-03	7.882782e-03	4.276364e-03	5.135425e-03
5.500000e+00	1.923526e-03	1.067600e-03	4.228837e-03	1.790570e-03	2.056483e-03	3.064502e-03	2.106147e-03	4.986790e-03	2.781332e-03	3.347672e-03
5.887300e+00	1.323313e-03	7.412201e-04	2.849416e-03	1.231371e-03	1.415255e-03	2.050616e-03	1.433266e-03	3.246706e-03	1.859149e-03	2.242084e-03
6.225400e+00	9.709855e-04	5.479782e-04	2.057370e-03	9.032477e-04	1.038723e-03	1.472599e-03	1.042473e-03	2.278508e-03	1.334000e-03	1.611198e-03
7.000000e+00	5.031053e-04	2.882845e-04	1.032598e-03	4.677324e-04	5.384782e-04	7.326956e-04	5.312647e-04	1.077992e-03	6.626618e-04	8.027294e-04
7.774600e+00	2.770818e-04	1.608672e-04	5.539198e-04	2.574758e-04	2.966877e-04	3.904795e-04	2.888891e-04	5.491718e-04	3.527368e-04	4.282221e-04
8.225400e+00	2.005404e-04	1.172246e-04	3.954866e-04	1.863068e-04	2.147740e-04	2.780177e-04	2.078110e-04	3.818349e-04	2.509934e-04	3.050420e-04
9.000000e+00	1.191722e-04	7.040768e-05	2.301842e-04	1.106755e-04	1.276689e-04	1.612763e-04	1.224279e-04	2.136831e-04	1.454682e-04	1.770843e-04
9.774600e+00	7.361154e-05	4.390306e-05	1.399011e-04	6.834371e-05	7.887938e-05	9.763271e-05	7.509849e-05	1.253379e-04	8.799670e-05	1.072687e-04
1.033810e+01	5.295398e-05	3.178186e-05	9.749580e-05	4.915566e-05	5.675230e-05	6.936218e-05	5.380170e-05	8.579820e-05	6.248468e-05	7.623968e-05
1.150000e+01	2.817555e-05	1.710952e-05	5.106148e-05	2.614663e-05	3.020447e-05	3.612288e-05	2.844059e-05	4.311994e-05	3.251828e-05	3.972748e-05
1.266190e+01	1.584395e-05	9.719793e-06	2.830842e-05	1.469995e-05	1.698795e-05	1.997411e-05	1.591975e-05	2.310017e-05	1.797228e-05	2.197595e-05
1.378890e+01	9.474209e-06	5.863818e-06	1.672358e-05	8.788571e-06	1.015985e-05	1.178879e-05	9.490707e-06	1.328707e-05	1.060399e-05	1.297360e-05
1.650000e+01	3.169090e-06	1.996705e-06	5.458833e-06	2.938975e-06	3.399205e-06	3.857227e-06	3.163343e-06	4.164249e-06	3.468501e-06	4.245954e-06
1.921110e+01	1.236505e-06	7.904927e-07	2.088695e-06	1.146598e-06	1.326412e-06	1.485049e-06	1.233284e-06	1.582977e-06	1.335429e-06	1.634668e-06
2.112700e+01	6.827008e-07	4.402888e-07	1.139739e-06	6.330383e-07	7.323632e-07	8.150013e-07	6.816701e-07	8.637766e-07	7.330430e-07	8.969596e-07
2.500000e+01	2.359107e-07	1.528314e-07	3.860505e-07	2.187498e-07	2.530715e-07	2.797528e-07	2.365673e-07	2.939028e-07	2.517923e-07	3.077133e-07
2.887300e+01	9.402568e-08	6.094485e-08	1.532323e-07	8.719563e-08	1.008557e-07	1.112783e-07	9.479727e-08	1.165081e-07	1.002406e-07	1.223160e-07
3.225400e+01	4.605065e-08	2.988150e-08	7.499373e-08	4.270844e-08	4.939287e-08	5.453361e-08	4.653519e-08	5.697725e-08	4.916413e-08	5.990310e-08
4.000000e+01	1.132114e-08	7.369868e-09	1.836996e-08	1.050167e-08	1.214060e-08	1.348369e-08	1.152442e-08	1.404513e-08	1.218000e-08	1.478738e-08
4.774600e+01	3.517712e-09	2.298222e-09	5.681037e-09	3.263629e-09	3.771794e-09	4.224575e-09	3.611735e-09	4.405551e-09	3.823469e-09	4.625680e-09
