# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.112700e+00	6.645317e-03	3.159346e-03	1.142525e-02	6.385133e-03	6.925543e-03	1.263334e-02	7.994633e-03	1.903348e-02	1.201807e-02	1.329043e-02
4.500000e+00	4.191031e-03	2.172429e-03	7.302730e-03	4.026365e-03	4.368383e-03	7.667941e-03	4.996865e-03	1.117098e-02	7.290793e-03	8.070442e-03
4.887300e+00	2.725925e-03	1.516201e-03	4.809154e-03	2.618802e-03	2.841332e-03	4.832993e-03	3.221525e-03	6.831726e-03	4.593999e-03	5.088037e-03
5.112700e+00	2.151301e-03	1.215158e-03	3.816304e-03	2.066851e-03	2.242303e-03	3.754223e-03	2.527529e-03	5.215924e-03	3.568239e-03	3.952779e-03
5.500000e+00	1.462604e-03	8.335727e-04	2.615536e-03	1.405314e-03	1.524358e-03	2.491714e-03	1.704116e-03	3.368754e-03	2.367990e-03	2.623839e-03
5.887300e+00	1.016793e-03	5.844381e-04	1.833985e-03	9.770609e-04	1.059637e-03	1.695803e-03	1.174585e-03	2.241443e-03	1.611485e-03	1.785905e-03
6.225400e+00	7.525255e-04	4.355641e-04	1.367860e-03	7.231857e-04	7.841758e-04	1.234469e-03	8.638625e-04	1.604045e-03	1.173066e-03	1.300107e-03
7.000000e+00	3.971050e-04	2.330889e-04	7.344368e-04	3.817104e-04	4.137275e-04	6.319238e-04	4.504168e-04	8.271338e-04	6.005392e-04	6.655118e-04
7.774600e+00	2.223256e-04	1.321100e-04	4.181823e-04	2.137599e-04	2.315824e-04	3.451751e-04	2.498821e-04	4.617191e-04	3.280823e-04	3.634811e-04
8.225400e+00	1.623591e-04	9.708435e-05	3.050155e-04	1.561270e-04	1.690971e-04	2.488382e-04	1.816763e-04	3.329060e-04	2.365457e-04	2.620112e-04
9.000000e+00	9.788677e-05	5.910240e-05	1.802014e-04	9.415446e-05	1.019252e-04	1.471738e-04	1.088343e-04	1.926445e-04	1.399492e-04	1.549335e-04
9.774600e+00	6.127101e-05	3.731915e-05	1.109279e-04	5.895033e-05	6.378431e-05	9.065496e-05	6.778546e-05	1.163630e-04	8.622414e-05	9.540722e-05
1.033810e+01	4.448089e-05	2.725009e-05	7.982422e-05	4.280428e-05	4.629789e-05	6.514288e-05	4.906343e-05	8.268242e-05	6.197346e-05	6.854915e-05
1.150000e+01	2.408682e-05	1.491813e-05	4.262084e-05	2.318783e-05	2.506209e-05	3.465145e-05	2.643355e-05	4.318466e-05	3.298316e-05	3.645003e-05
1.266190e+01	1.376295e-05	8.602430e-06	2.403812e-05	1.325437e-05	1.431513e-05	1.951753e-05	1.504539e-05	2.391657e-05	1.858490e-05	2.051312e-05
1.378890e+01	8.347879e-06	5.259581e-06	1.442113e-05	8.051121e-06	8.681293e-06	1.170301e-05	9.101711e-06	1.413880e-05	1.115007e-05	1.229762e-05
1.650000e+01	2.879749e-06	1.843090e-06	4.863998e-06	2.776775e-06	2.991937e-06	3.952499e-06	3.126878e-06	4.654235e-06	3.770457e-06	4.149983e-06
1.921110e+01	1.153242e-06	7.476769e-07	1.914526e-06	1.112928e-06	1.197267e-06	1.560778e-06	1.250363e-06	1.802217e-06	1.490462e-06	1.636944e-06
2.112700e+01	6.473364e-07	4.229123e-07	1.063370e-06	6.250521e-07	6.717170e-07	8.696277e-07	7.016461e-07	9.934161e-07	8.314415e-07	9.114733e-07
2.500000e+01	2.303257e-07	1.524982e-07	3.717510e-07	2.226324e-07	2.387653e-07	3.062044e-07	2.499230e-07	3.439394e-07	2.931059e-07	3.204911e-07
2.887300e+01	9.412527e-08	6.239153e-08	1.497422e-07	9.107371e-08	9.748207e-08	1.243126e-07	1.023190e-07	1.380094e-07	1.191689e-07	1.299402e-07
3.225400e+01	4.699488e-08	3.110541e-08	7.432403e-08	4.550896e-08	4.863336e-08	6.183713e-08	5.120201e-08	6.839693e-08	5.935017e-08	6.456501e-08
4.000000e+01	1.197348e-08	7.913663e-09	1.900344e-08	1.161660e-08	1.238229e-08	1.569873e-08	1.303535e-08	1.727217e-08	1.510548e-08	1.635275e-08
4.774600e+01	3.829331e-09	2.529898e-09	6.074796e-09	3.720731e-09	3.950332e-09	5.016285e-09	4.171900e-09	5.508756e-09	4.837551e-09	5.214000e-09
