# pT	yLO	yLOminus	yLOplus	yNLO	yNLOminus	yNLOplus
4.150000e+00	7.886812e-01	6.680848e-01	8.428854e-01	8.180223e-01	7.648111e-01	8.362454e-01
4.750000e+00	8.122554e-01	7.125707e-01	8.596908e-01	8.352952e-01	7.974596e-01	8.527745e-01
5.450000e+00	8.337361e-01	7.520276e-01	8.761741e-01	8.530319e-01	8.243507e-01	8.680134e-01
6.250000e+00	8.540642e-01	7.866021e-01	8.911956e-01	8.685836e-01	8.480354e-01	8.824493e-01
7.150000e+00	8.728682e-01	8.160102e-01	9.050952e-01	8.833710e-01	8.687030e-01	8.958062e-01
8.250000e+00	8.914044e-01	8.438596e-01	9.183820e-01	8.992558e-01	8.873252e-01	9.093884e-01
9.400000e+00	9.068856e-01	8.665067e-01	9.298746e-01	9.106136e-01	9.023757e-01	9.213080e-01
1.075000e+01	9.217427e-01	8.872077e-01	9.409791e-01	9.232425e-01	9.165161e-01	9.324845e-01
1.235000e+01	9.355783e-01	9.066785e-01	9.515035e-01	9.351745e-01	9.295954e-01	9.432638e-01
1.415000e+01	9.480526e-01	9.246492e-01	9.610884e-01	9.457566e-01	9.415113e-01	9.531173e-01
1.620000e+01	9.590132e-01	9.399264e-01	9.695022e-01	9.554212e-01	9.520634e-01	9.621426e-01
1.865000e+01	9.690829e-01	9.542500e-01	9.772766e-01	9.638760e-01	9.617662e-01	9.705515e-01
2.150000e+01	9.782142e-01	9.666698e-01	9.840527e-01	9.728451e-01	9.700662e-01	9.780131e-01
2.450000e+01	9.851606e-01	9.763629e-01	9.893320e-01	9.795737e-01	9.764241e-01	9.839865e-01
2.800000e+01	9.911222e-01	9.846652e-01	9.947456e-01	9.855022e-01	9.824319e-01	9.891632e-01
3.380000e+01	9.972712e-01	9.931038e-01	9.994510e-01	9.921070e-01	9.892792e-01	9.948533e-01
4.250000e+01	1.001417e+00	1.000319e+00	1.001755e+00	9.974759e-01	9.944967e-01	9.991068e-01
5.380000e+01	1.002899e+00	1.001544e+00	1.003584e+00	9.997957e-01	9.969604e-01	1.000577e+00
6.750000e+01	1.001095e+00	9.987048e-01	1.003503e+00	9.989634e-01	9.966393e-01	9.994013e-01
8.500000e+01	9.963508e-01	9.929214e-01	9.996619e-01	9.951793e-01	9.934737e-01	9.953856e-01
