# pT	yLO	yLOminus	yLOplus	yNLO	yNLOminus	yNLOplus
4.150000e+00	8.003305e-01	6.822770e-01	8.518134e-01	8.493227e-01	8.124792e-01	8.924334e-01
4.750000e+00	8.238458e-01	7.298426e-01	8.676847e-01	8.650534e-01	8.381152e-01	9.049325e-01
5.450000e+00	8.450912e-01	7.694126e-01	8.825905e-01	8.786755e-01	8.611708e-01	9.108842e-01
6.250000e+00	8.645758e-01	8.032017e-01	8.966861e-01	8.900852e-01	8.795981e-01	9.218735e-01
7.150000e+00	8.819031e-01	8.317287e-01	9.087857e-01	9.012291e-01	8.947590e-01	9.333381e-01
8.250000e+00	8.982522e-01	8.581387e-01	9.202991e-01	9.109313e-01	9.067939e-01	9.421961e-01
9.400000e+00	9.113787e-01	8.788646e-01	9.299339e-01	9.198737e-01	9.164080e-01	9.469944e-01
1.075000e+01	9.232390e-01	8.968889e-01	9.386133e-01	9.265808e-01	9.250500e-01	9.515387e-01
1.235000e+01	9.340980e-01	9.130271e-01	9.462011e-01	9.335501e-01	9.329929e-01	9.520378e-01
1.415000e+01	9.426739e-01	9.269545e-01	9.522687e-01	9.395880e-01	9.368876e-01	9.536243e-01
1.620000e+01	9.494067e-01	9.372447e-01	9.571923e-01	9.432249e-01	9.396715e-01	9.525690e-01
1.865000e+01	9.544403e-01	9.451031e-01	9.603611e-01	9.476497e-01	9.414523e-01	9.514580e-01
2.150000e+01	9.571958e-01	9.508967e-01	9.617165e-01	9.497257e-01	9.422574e-01	9.534914e-01
2.450000e+01	9.581871e-01	9.539837e-01	9.613301e-01	9.503140e-01	9.424799e-01	9.538116e-01
2.800000e+01	9.572861e-01	9.547664e-01	9.602160e-01	9.492662e-01	9.417106e-01	9.525435e-01
3.380000e+01	9.526844e-01	9.494419e-01	9.560035e-01	9.451144e-01	9.359462e-01	9.478195e-01
4.250000e+01	9.414991e-01	9.365962e-01	9.468438e-01	9.355029e-01	9.264485e-01	9.372713e-01
5.380000e+01	9.248443e-01	9.188686e-01	9.317387e-01	9.203298e-01	9.123870e-01	9.212523e-01
6.750000e+01	9.038568e-01	8.972764e-01	9.115237e-01	9.011358e-01	8.950654e-01	9.017803e-01
8.500000e+01	8.787365e-01	8.724133e-01	8.865531e-01	8.783015e-01	8.741331e-01	8.787136e-01
