# pT	yLO	yLOminus	yLOplus	yNLO	yNLOminus	yNLOplus
4.150000e+00	7.886418e-01	6.907011e-01	8.400566e-01	8.207652e-01	7.807021e-01	8.506002e-01
4.750000e+00	8.112881e-01	7.294893e-01	8.560418e-01	8.364638e-01	8.053590e-01	8.616591e-01
5.450000e+00	8.318459e-01	7.632314e-01	8.714501e-01	8.529444e-01	8.301280e-01	8.704464e-01
6.250000e+00	8.513450e-01	7.925766e-01	8.859072e-01	8.659306e-01	8.504012e-01	8.784224e-01
7.150000e+00	8.693491e-01	8.187271e-01	8.992759e-01	8.797461e-01	8.679874e-01	8.905284e-01
8.250000e+00	8.868584e-01	8.438222e-01	9.132402e-01	8.945504e-01	8.845136e-01	9.035128e-01
9.400000e+00	9.022892e-01	8.652566e-01	9.245387e-01	9.049163e-01	8.982593e-01	9.148503e-01
1.075000e+01	9.163113e-01	8.847983e-01	9.352982e-01	9.168697e-01	9.119310e-01	9.257745e-01
1.235000e+01	9.295798e-01	9.031865e-01	9.455314e-01	9.281147e-01	9.230590e-01	9.355702e-01
1.415000e+01	9.413955e-01	9.195913e-01	9.547042e-01	9.381981e-01	9.343635e-01	9.459742e-01
1.620000e+01	9.519602e-01	9.339363e-01	9.629185e-01	9.478304e-01	9.440684e-01	9.547340e-01
1.865000e+01	9.616881e-01	9.472170e-01	9.705487e-01	9.569005e-01	9.531374e-01	9.630980e-01
2.150000e+01	9.699702e-01	9.589260e-01	9.769258e-01	9.649785e-01	9.614167e-01	9.705809e-01
2.450000e+01	9.767072e-01	9.679067e-01	9.823494e-01	9.716737e-01	9.668368e-01	9.764949e-01
2.800000e+01	9.827698e-01	9.759129e-01	9.867153e-01	9.776608e-01	9.741671e-01	9.817129e-01
3.380000e+01	9.890365e-01	9.850887e-01	9.913950e-01	9.844445e-01	9.812982e-01	9.875205e-01
4.250000e+01	9.946190e-01	9.921336e-01	9.951385e-01	9.901484e-01	9.870951e-01	9.920113e-01
5.380000e+01	9.954546e-01	9.946274e-01	9.959733e-01	9.930088e-01	9.905242e-01	9.939357e-01
6.750000e+01	9.938983e-01	9.924136e-01	9.955311e-01	9.930376e-01	9.913434e-01	9.932663e-01
8.500000e+01	9.903894e-01	9.879760e-01	9.928777e-01	9.905508e-01	9.895108e-01	9.907571e-01
