# pT	yLO	yLOminus	yLOplus	yNLO	yNLOminus	yNLOplus
4.000000e+00	7.624607e-01	6.245341e-01	8.249215e-01	8.021390e-01	7.406830e-01	8.217855e-01
4.900000e+00	7.993052e-01	6.939946e-01	8.513664e-01	8.294373e-01	7.893894e-01	8.456615e-01
6.000000e+00	8.311499e-01	7.508729e-01	8.758494e-01	8.537078e-01	8.288648e-01	8.684628e-01
7.400000e+00	8.627800e-01	8.001557e-01	8.996880e-01	8.781214e-01	8.625064e-01	8.909454e-01
9.100000e+00	8.914347e-01	8.425150e-01	9.215573e-01	9.004462e-01	8.903059e-01	9.115851e-01
1.120000e+01	9.180160e-01	8.791934e-01	9.417616e-01	9.221054e-01	9.146040e-01	9.321704e-01
1.380000e+01	9.418075e-01	9.123431e-01	9.601239e-01	9.419311e-01	9.366592e-01	9.508936e-01
1.690000e+01	9.621689e-01	9.404821e-01	9.750431e-01	9.589858e-01	9.551386e-01	9.674709e-01
2.080000e+01	9.807120e-01	9.652109e-01	9.887202e-01	9.758838e-01	9.725375e-01	9.824504e-01
2.550000e+01	9.952728e-01	9.853241e-01	1.000798e+00	9.896587e-01	9.858797e-01	9.949510e-01
3.140000e+01	1.006753e+00	1.001351e+00	1.009451e+00	1.001355e+00	9.978062e-01	1.005256e+00
3.850000e+01	1.014758e+00	1.012772e+00	1.015313e+00	1.010209e+00	1.006701e+00	1.012626e+00
4.730000e+01	1.019563e+00	1.018311e+00	1.020158e+00	1.016157e+00	1.012602e+00	1.017300e+00
5.810000e+01	1.021230e+00	1.018731e+00	1.023632e+00	1.019174e+00	1.016208e+00	1.019573e+00
7.140000e+01	1.019900e+00	1.016547e+00	1.023491e+00	1.019154e+00	1.016926e+00	1.019296e+00
8.780000e+01	1.015749e+00	1.011894e+00	1.020022e+00	1.016166e+00	1.014241e+00	1.016734e+00
1.078000e+02	1.008978e+00	1.004850e+00	1.013598e+00	1.010302e+00	1.007832e+00	1.011142e+00
1.325000e+02	9.996197e-01	9.950244e-01	1.003993e+00	1.001584e+00	9.987311e-01	1.002984e+00
1.628000e+02	9.877197e-01	9.833374e-01	9.924561e-01	9.902693e-01	9.869981e-01	9.920239e-01
2.000000e+02	9.735762e-01	9.690185e-01	9.782503e-01	9.762275e-01	9.727541e-01	9.782483e-01
