# pT	yLO	yLOminus	yLOplus	yNLO	yNLOminus	yNLOplus
4.000000e+00	7.718067e-01	6.271983e-01	8.340239e-01	8.365706e-01	7.882088e-01	8.853464e-01
4.900000e+00	8.103873e-01	7.042752e-01	8.604010e-01	8.608802e-01	8.329487e-01	9.059091e-01
6.000000e+00	8.442366e-01	7.656407e-01	8.846871e-01	8.822102e-01	8.676386e-01	9.197467e-01
7.400000e+00	8.761693e-01	8.173675e-01	9.075842e-01	9.013019e-01	8.928229e-01	9.412329e-01
9.100000e+00	9.038857e-01	8.605202e-01	9.277488e-01	9.181249e-01	9.128680e-01	9.560637e-01
1.120000e+01	9.280373e-01	8.961688e-01	9.453943e-01	9.334224e-01	9.308590e-01	9.627877e-01
1.380000e+01	9.484597e-01	9.265153e-01	9.608222e-01	9.472179e-01	9.465145e-01	9.690908e-01
1.690000e+01	9.647695e-01	9.504042e-01	9.732224e-01	9.589890e-01	9.543464e-01	9.694985e-01
2.080000e+01	9.774816e-01	9.687113e-01	9.827837e-01	9.691221e-01	9.616196e-01	9.742822e-01
2.550000e+01	9.861716e-01	9.813706e-01	9.888975e-01	9.768970e-01	9.684587e-01	9.815202e-01
3.140000e+01	9.910509e-01	9.893361e-01	9.928339e-01	9.822658e-01	9.732990e-01	9.859796e-01
3.850000e+01	9.919418e-01	9.893576e-01	9.944022e-01	9.845028e-01	9.743841e-01	9.871398e-01
4.730000e+01	9.889884e-01	9.850786e-01	9.929767e-01	9.830684e-01	9.738365e-01	9.845980e-01
5.810000e+01	9.810301e-01	9.759975e-01	9.867249e-01	9.774749e-01	9.700449e-01	9.782165e-01
7.140000e+01	9.686497e-01	9.627157e-01	9.753892e-01	9.670504e-01	9.618061e-01	9.673742e-01
8.780000e+01	9.511614e-01	9.445916e-01	9.586742e-01	9.511473e-01	9.477948e-01	9.518592e-01
1.078000e+02	9.287112e-01	9.217707e-01	9.366938e-01	9.305126e-01	9.270356e-01	9.313657e-01
1.325000e+02	9.008375e-01	8.938344e-01	9.090089e-01	9.043316e-01	9.003028e-01	9.058523e-01
1.628000e+02	8.692869e-01	8.625004e-01	8.772832e-01	8.736393e-01	8.693646e-01	8.756066e-01
2.000000e+02	8.345241e-01	8.283018e-01	8.419109e-01	8.395472e-01	8.352045e-01	8.417277e-01
