# pT	yLO	yLOminus	yLOplus	yNLO	yNLOminus	yNLOplus
4.000000e+00	7.643171e-01	6.469166e-01	8.233523e-01	8.064992e-01	7.595804e-01	8.486056e-01
4.900000e+00	7.998237e-01	7.092350e-01	8.485888e-01	8.310882e-01	8.008169e-01	8.605019e-01
6.000000e+00	8.310972e-01	7.597038e-01	8.723419e-01	8.530920e-01	8.335450e-01	8.727511e-01
7.400000e+00	8.617242e-01	8.044778e-01	8.953761e-01	8.753315e-01	8.624193e-01	8.897649e-01
9.100000e+00	8.892658e-01	8.434790e-01	9.164685e-01	8.951448e-01	8.875363e-01	9.086022e-01
1.120000e+01	9.144159e-01	8.783045e-01	9.362861e-01	9.156671e-01	9.093587e-01	9.254147e-01
1.380000e+01	9.374410e-01	9.098045e-01	9.537058e-01	9.345440e-01	9.290315e-01	9.435245e-01
1.690000e+01	9.566293e-01	9.359898e-01	9.690208e-01	9.516125e-01	9.477432e-01	9.596618e-01
2.080000e+01	9.738479e-01	9.592126e-01	9.826229e-01	9.675482e-01	9.629343e-01	9.745169e-01
2.550000e+01	9.879601e-01	9.782114e-01	9.937257e-01	9.813755e-01	9.766081e-01	9.871097e-01
3.140000e+01	9.994295e-01	9.930132e-01	1.002589e+00	9.933547e-01	9.892247e-01	9.980834e-01
3.850000e+01	1.007726e+00	1.005133e+00	1.008755e+00	1.003349e+00	9.988010e-01	1.005649e+00
4.730000e+01	1.013056e+00	1.012442e+00	1.013580e+00	1.009527e+00	1.005783e+00	1.011091e+00
5.810000e+01	1.015407e+00	1.013512e+00	1.017023e+00	1.013455e+00	1.010596e+00	1.013835e+00
7.140000e+01	1.014800e+00	1.012450e+00	1.017684e+00	1.014389e+00	1.012666e+00	1.014485e+00
8.780000e+01	1.011554e+00	1.008199e+00	1.015488e+00	1.012356e+00	1.010556e+00	1.012846e+00
1.078000e+02	1.005254e+00	1.001612e+00	1.009621e+00	1.007453e+00	1.005179e+00	1.008506e+00
1.325000e+02	9.965955e-01	9.929914e-01	1.000880e+00	9.997735e-01	9.971421e-01	1.001223e+00
1.628000e+02	9.858926e-01	9.824585e-01	9.900498e-01	9.897453e-01	9.869104e-01	9.917791e-01
2.000000e+02	9.733199e-01	9.703222e-01	9.771349e-01	9.776444e-01	9.748422e-01	9.800589e-01
