# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	7.624607e-01	6.245341e-01	8.249215e-01	6.163286e-01	8.738961e-01	8.021390e-01	7.406830e-01	8.217855e-01	6.755985e-01	9.018966e-01
4.900000e+00	7.993052e-01	6.939946e-01	8.513664e-01	6.709716e-01	9.004770e-01	8.294373e-01	7.893894e-01	8.456615e-01	7.163800e-01	9.222045e-01
6.000000e+00	8.311499e-01	7.508729e-01	8.758494e-01	7.188949e-01	9.244887e-01	8.537078e-01	8.288648e-01	8.684628e-01	7.523398e-01	9.405245e-01
7.400000e+00	8.627800e-01	8.001557e-01	8.996880e-01	7.657533e-01	9.484308e-01	8.781214e-01	8.625064e-01	8.909454e-01	7.883388e-01	9.592083e-01
9.100000e+00	8.914347e-01	8.425150e-01	9.215573e-01	8.079181e-01	9.713739e-01	9.004462e-01	8.903059e-01	9.115851e-01	8.211730e-01	9.770935e-01
1.120000e+01	9.180160e-01	8.791934e-01	9.417616e-01	8.461787e-01	9.930703e-01	9.221054e-01	9.146040e-01	9.321704e-01	8.523931e-01	9.948901e-01
1.380000e+01	9.418075e-01	9.123431e-01	9.601239e-01	8.796231e-01	1.012842e+00	9.419311e-01	9.366592e-01	9.508936e-01	8.803836e-01	1.011193e+00
1.690000e+01	9.621689e-01	9.404821e-01	9.750431e-01	9.075729e-01	1.030615e+00	9.589858e-01	9.551386e-01	9.674709e-01	9.043922e-01	1.026353e+00
2.080000e+01	9.807120e-01	9.652109e-01	9.887202e-01	9.319245e-01	1.047116e+00	9.758838e-01	9.725375e-01	9.824504e-01	9.267284e-01	1.040866e+00
2.550000e+01	9.952728e-01	9.853241e-01	1.000798e+00	9.506548e-01	1.060499e+00	9.896587e-01	9.858797e-01	9.949510e-01	9.448161e-01	1.053748e+00
3.140000e+01	1.006753e+00	1.001351e+00	1.009451e+00	9.648959e-01	1.070757e+00	1.001355e+00	9.978062e-01	1.005256e+00	9.595758e-01	1.064179e+00
3.850000e+01	1.014758e+00	1.012772e+00	1.015313e+00	9.745822e-01	1.077506e+00	1.010209e+00	1.006701e+00	1.012626e+00	9.704224e-01	1.071753e+00
4.730000e+01	1.019563e+00	1.018311e+00	1.020158e+00	9.803979e-01	1.080869e+00	1.016157e+00	1.012602e+00	1.017300e+00	9.776617e-01	1.076273e+00
5.810000e+01	1.021230e+00	1.018731e+00	1.023632e+00	9.828132e-01	1.080888e+00	1.019174e+00	1.016208e+00	1.019573e+00	9.815366e-01	1.077651e+00
7.140000e+01	1.019900e+00	1.016547e+00	1.023491e+00	9.822207e-01	1.077631e+00	1.019154e+00	1.016926e+00	1.019296e+00	9.822806e-01	1.075797e+00
8.780000e+01	1.015749e+00	1.011894e+00	1.020022e+00	9.789545e-01	1.071229e+00	1.016166e+00	1.014241e+00	1.016734e+00	9.801074e-01	1.070673e+00
1.078000e+02	1.008978e+00	1.004850e+00	1.013598e+00	9.733678e-01	1.061984e+00	1.010302e+00	1.007832e+00	1.011142e+00	9.753157e-01	1.062480e+00
1.325000e+02	9.996197e-01	9.950244e-01	1.003993e+00	9.654611e-01	1.049879e+00	1.001584e+00	9.987311e-01	1.002984e+00	9.679304e-01	1.051197e+00
1.628000e+02	9.877197e-01	9.833374e-01	9.924561e-01	9.552546e-01	1.035103e+00	9.902693e-01	9.869981e-01	9.920239e-01	9.581360e-01	1.037088e+00
2.000000e+02	9.735762e-01	9.690185e-01	9.782503e-01	9.428574e-01	1.017644e+00	9.762275e-01	9.727541e-01	9.782483e-01	9.457553e-01	1.020031e+00
