# sqrt(s_NN) = 5360.0000004.0 GeV ymin=-0.800000 ymax=0.800000	seed=1964
# pTmin	pTmax	pTc	dsigma/(2pi pTdpTdy) (mb/GeV)	stat. err	gluon	err	quark	err
4	4	4	1.18183e-02	2.99737e-05	9.45737e-03	1.53377e-05	2.34717e-03	4.46708e-06
4.9	4.9	4.9	4.06836e-03	9.45860e-06	3.20207e-03	8.64729e-06	8.52794e-04	1.48924e-06
6	6	6	1.33262e-03	3.30808e-06	1.05405e-03	2.80362e-06	2.79801e-04	6.70497e-07
7.4	7.4	7.4	4.15429e-04	1.19211e-06	3.19062e-04	9.24530e-07	9.43519e-05	2.38855e-07
9.1	9.1	9.1	1.26720e-04	3.69490e-07	9.58522e-05	2.63323e-07	3.14996e-05	7.02650e-08
11.2	11.2	11.2	3.78794e-05	1.15261e-07	2.76882e-05	6.85738e-08	1.01860e-05	2.69718e-08
13.8	13.8	13.8	1.09175e-05	2.91036e-08	7.66773e-06	2.09258e-08	3.21468e-06	8.98971e-09
16.9	16.9	16.9	3.18870e-06	9.25435e-09	2.16196e-06	5.49559e-09	1.03063e-06	2.78955e-09
20.8	20.8	20.8	8.80508e-07	2.44166e-09	5.74677e-07	1.52842e-09	3.14607e-07	7.99286e-10
25.5	25.5	25.5	2.46643e-07	5.88338e-10	1.51598e-07	4.10633e-10	9.57748e-08	2.43708e-10
31.4	31.4	31.4	6.57014e-08	2.02323e-10	3.77545e-08	9.51633e-11	2.80325e-08	7.28562e-11
38.5	38.5	38.5	1.75028e-08	4.36145e-11	9.32602e-09	2.66569e-11	8.18770e-09	1.72216e-11
47.3	47.3	47.3	4.54357e-09	1.40105e-11	2.21746e-09	6.61743e-12	2.33380e-09	6.22655e-12
58.1	58.1	58.1	1.15951e-09	2.39147e-12	5.07966e-10	1.43465e-12	6.53213e-10	1.93593e-12
71.4	71.4	71.4	2.89646e-10	8.69121e-13	1.11601e-10	3.31976e-13	1.77635e-10	5.70666e-13
87.8	87.8	87.8	7.07893e-11	1.65665e-13	2.34312e-11	6.62264e-14	4.72004e-11	1.28668e-13
107.8	107.8	107.8	1.71356e-11	4.79778e-14	4.74417e-12	1.23394e-14	1.23490e-11	3.69278e-14
132.5	132.5	132.5	4.02062e-12	1.13889e-14	9.03763e-13	1.78930e-15	3.12472e-12	9.08565e-15
162.8	162.8	162.8	9.26820e-13	1.86558e-15	1.62435e-13	3.18858e-16	7.65925e-13	2.43668e-15
200	200	200	2.06545e-13	6.57709e-16	2.76159e-14	7.97315e-17	1.79089e-13	4.98659e-16
