# sqrt(s_NN) = 5360.0000004.0 GeV ymin=-0.800000 ymax=0.800000	seed=1964
# pTmin	pTmax	pTc	dsigma/(2pi pTdpTdy) (mb/GeV)	stat. err	gluon	err	quark	err
4	4	4	7.73534e-03	1.61358e-05	5.74051e-03	1.14849e-05	1.98339e-03	4.87950e-06
4.9	4.9	4.9	2.73326e-03	6.94512e-06	1.99976e-03	5.03496e-06	7.17442e-04	1.87009e-06
6	6	6	9.33324e-04	2.65242e-06	6.73619e-04	1.72400e-06	2.58247e-04	6.87404e-07
7.4	7.4	7.4	2.98094e-04	7.31501e-07	2.10788e-04	6.05990e-07	8.65957e-05	2.37021e-07
9.1	9.1	9.1	9.35732e-05	2.64737e-07	6.48634e-05	1.69758e-07	2.87768e-05	7.01778e-08
11.2	11.2	11.2	2.86422e-05	6.03232e-08	1.93252e-05	5.68600e-08	9.30190e-06	2.64191e-08
13.8	13.8	13.8	8.48870e-06	2.16539e-08	5.52674e-06	1.61609e-08	2.92079e-06	8.56414e-09
16.9	16.9	16.9	2.54200e-06	6.13302e-09	1.61679e-06	4.13199e-09	9.29813e-07	2.52305e-09
20.8	20.8	20.8	7.22556e-07	1.43932e-09	4.43510e-07	1.06430e-09	2.81826e-07	7.64212e-10
25.5	25.5	25.5	2.07983e-07	6.29634e-10	1.21159e-07	2.65415e-10	8.59881e-08	2.46635e-10
31.4	31.4	31.4	5.63916e-08	1.72119e-10	3.14717e-08	8.87955e-11	2.49546e-08	6.46769e-11
38.5	38.5	38.5	1.53651e-08	4.25618e-11	8.13350e-09	2.29933e-11	7.29603e-09	1.84757e-11
47.3	47.3	47.3	4.08122e-09	9.84883e-12	2.00671e-09	5.17380e-12	2.06699e-09	5.30866e-12
58.1	58.1	58.1	1.05935e-09	2.89246e-12	4.81019e-10	1.14509e-12	5.76526e-10	1.70925e-12
71.4	71.4	71.4	2.67098e-10	7.01357e-13	1.10980e-10	3.32724e-13	1.55638e-10	4.36085e-13
87.8	87.8	87.8	6.58350e-11	1.81915e-13	2.46398e-11	6.26462e-14	4.11985e-11	1.21557e-13
107.8	107.8	107.8	1.59848e-11	4.65397e-14	5.24412e-12	1.40591e-14	1.07512e-11	2.69505e-14
132.5	132.5	132.5	3.74951e-12	1.10327e-14	1.05364e-12	2.71191e-15	2.68458e-12	7.23509e-15
162.8	162.8	162.8	8.51172e-13	2.08113e-15	2.00832e-13	4.99412e-16	6.52436e-13	1.56191e-15
200	200	200	1.86058e-13	4.71150e-16	3.61280e-14	9.31493e-17	1.50779e-13	3.61740e-16
