# sqrt(s_NN) = 5360.0000004.0 GeV ymin=-0.800000 ymax=0.800000	seed=1964
# pTmin	pTmax	pTc	dsigma/(2pi pTdpTdy) (mb/GeV)	stat. err	gluon	err	quark	err
4	4	4	9.12995e-03	2.31831e-05	7.43164e-03	1.98789e-05	1.69883e-03	3.12406e-06
4.9	4.9	4.9	3.30044e-03	8.93771e-06	2.64902e-03	7.32611e-06	6.45087e-04	1.29599e-06
6	6	6	1.12692e-03	3.29944e-06	9.01651e-04	2.67954e-06	2.18223e-04	6.03306e-07
7.4	7.4	7.4	3.61991e-04	9.44344e-07	2.85614e-04	7.82048e-07	7.65241e-05	1.70959e-07
9.1	9.1	9.1	1.14756e-04	2.41701e-07	8.79253e-05	2.36363e-07	2.65049e-05	5.40801e-08
11.2	11.2	11.2	3.52117e-05	8.12808e-08	2.61983e-05	7.36550e-08	8.88761e-06	2.45307e-08
13.8	13.8	13.8	1.03983e-05	2.86306e-08	7.49685e-06	2.25003e-08	2.86947e-06	7.78015e-09
16.9	16.9	16.9	3.08198e-06	9.05642e-09	2.13917e-06	5.79578e-09	9.38906e-07	2.32301e-09
20.8	20.8	20.8	8.63277e-07	2.61400e-09	5.74987e-07	1.41683e-09	2.90426e-07	7.79828e-10
25.5	25.5	25.5	2.44421e-07	6.98380e-10	1.53558e-07	4.94857e-10	8.96979e-08	2.22850e-10
31.4	31.4	31.4	6.52322e-08	1.91109e-10	3.86778e-08	1.12578e-10	2.65179e-08	8.14094e-11
38.5	38.5	38.5	1.74384e-08	5.29339e-11	9.61860e-09	2.83728e-11	7.80775e-09	1.83346e-11
47.3	47.3	47.3	4.51568e-09	1.21381e-11	2.28446e-09	7.22737e-12	2.22698e-09	6.28332e-12
58.1	58.1	58.1	1.14322e-09	2.17974e-12	5.20863e-10	1.63840e-12	6.22681e-10	1.84435e-12
71.4	71.4	71.4	2.81977e-10	6.83654e-13	1.14017e-10	2.73923e-13	1.67664e-10	5.50696e-13
87.8	87.8	87.8	6.77113e-11	1.53727e-13	2.37762e-11	6.00608e-14	4.39626e-11	1.02536e-13
107.8	107.8	107.8	1.60819e-11	4.92679e-14	4.76764e-12	1.49852e-14	1.12990e-11	3.30338e-14
132.5	132.5	132.5	3.68410e-12	1.07225e-14	9.01868e-13	1.53528e-15	2.77573e-12	7.36452e-15
162.8	162.8	162.8	8.16845e-13	2.62846e-15	1.59747e-13	4.84997e-16	6.60009e-13	1.99159e-15
200	200	200	1.75255e-13	4.64133e-16	2.66024e-14	8.09216e-17	1.49470e-13	4.11599e-16
