# sqrt(s_NN) = 5360.0000004.0 GeV ymin=-0.800000 ymax=0.800000	seed=1964
# pTmin	pTmax	pTc	dsigma/(2pi pTdpTdy) (mb/GeV)	stat. err	gluon	err	quark	err
4	4	4	5.85791e-03	1.48634e-05	4.41416e-03	1.10583e-05	1.45522e-03	2.92800e-06
4.9	4.9	4.9	2.17057e-03	5.13016e-06	1.61251e-03	4.23459e-06	5.50524e-04	1.36089e-06
6	6	6	7.72933e-04	1.81130e-06	5.64910e-04	1.43438e-06	2.04544e-04	4.23535e-07
7.4	7.4	7.4	2.55375e-04	6.97474e-07	1.84082e-04	4.00248e-07	7.12604e-05	1.34534e-07
9.1	9.1	9.1	8.31958e-05	2.18863e-07	5.84064e-05	1.64646e-07	2.43802e-05	6.65137e-08
11.2	11.2	11.2	2.61528e-05	7.40843e-08	1.79377e-05	4.70860e-08	8.13361e-06	1.73151e-08
13.8	13.8	13.8	7.90753e-06	1.89840e-08	5.25117e-06	1.31480e-08	2.60937e-06	6.70421e-09
16.9	16.9	16.9	2.42334e-06	5.92851e-09	1.57403e-06	4.04600e-09	8.46985e-07	1.92722e-09
20.8	20.8	20.8	6.98934e-07	1.32024e-09	4.38330e-07	1.07067e-09	2.61590e-07	6.72372e-10
25.5	25.5	25.5	2.02873e-07	5.07352e-10	1.21574e-07	2.50775e-10	8.11296e-08	2.24132e-10
31.4	31.4	31.4	5.56413e-08	1.47899e-10	3.21058e-08	9.02448e-11	2.37944e-08	6.99867e-11
38.5	38.5	38.5	1.52468e-08	4.50852e-11	8.32106e-09	2.31765e-11	6.95615e-09	1.92682e-11
47.3	47.3	47.3	4.05809e-09	1.08937e-11	2.06266e-09	6.16271e-12	1.98421e-09	4.95086e-12
58.1	58.1	58.1	1.04330e-09	2.85842e-12	4.93889e-10	1.04333e-12	5.45919e-10	1.44421e-12
71.4	71.4	71.4	2.60638e-10	7.19888e-13	1.13611e-10	3.36501e-13	1.46386e-10	4.45925e-13
87.8	87.8	87.8	6.35631e-11	1.93838e-13	2.51172e-11	6.84880e-14	3.82794e-11	1.16965e-13
107.8	107.8	107.8	1.50874e-11	4.83061e-14	5.30518e-12	1.21888e-14	9.78321e-12	2.59611e-14
132.5	132.5	132.5	3.41694e-12	9.25247e-15	1.05641e-12	2.60713e-15	2.38219e-12	6.65125e-15
162.8	162.8	162.8	7.57750e-13	1.92372e-15	1.98959e-13	5.91849e-16	5.58982e-13	1.29946e-15
200	200	200	1.60382e-13	5.34197e-16	3.53549e-14	1.06613e-16	1.24844e-13	4.03540e-16
