# sqrt(s_NN) = 5360.0000004.0 GeV ymin=-0.800000 ymax=0.800000	seed=1964
# pTmin	pTmax	pTc	dsigma/(2pi pTdpTdy) (mb/GeV)	stat. err	gluon	err	quark	err
4	4	4	1.23142e-02	7.97115e-06	9.46179e-03	7.37015e-06	2.86488e-03	1.71987e-06
4.9	4.9	4.9	4.26279e-03	3.11771e-06	3.21995e-03	2.58213e-06	1.04255e-03	6.46317e-07
6	6	6	1.39905e-03	1.01582e-06	1.05356e-03	8.46365e-07	3.42860e-04	1.86245e-07
7.4	7.4	7.4	4.36631e-04	3.17397e-07	3.20095e-04	2.58774e-07	1.16221e-04	6.16536e-08
9.1	9.1	9.1	1.34761e-04	1.08859e-07	9.57242e-05	7.01314e-08	3.89834e-05	2.68133e-08
11.2	11.2	11.2	4.03402e-05	3.06916e-08	2.76409e-05	2.26661e-08	1.27154e-05	8.70751e-09
13.8	13.8	13.8	1.17094e-05	8.57714e-09	7.68907e-06	6.41347e-09	4.03827e-06	2.71704e-09
16.9	16.9	16.9	3.46240e-06	2.58348e-09	2.16570e-06	1.71072e-09	1.29892e-06	9.55683e-10
20.8	20.8	20.8	9.72543e-07	8.19417e-10	5.74151e-07	4.41253e-10	3.98197e-07	2.31008e-10
25.5	25.5	25.5	2.73685e-07	2.28170e-10	1.51535e-07	1.23778e-10	1.22770e-07	6.78614e-11
31.4	31.4	31.4	7.38382e-08	5.91025e-11	3.77567e-08	3.35186e-11	3.62437e-08	2.55719e-11
38.5	38.5	38.5	2.01178e-08	1.37310e-11	9.36022e-09	7.09217e-12	1.07339e-08	6.64139e-12
47.3	47.3	47.3	5.30443e-09	3.41307e-12	2.21773e-09	2.03074e-12	3.09305e-09	2.24234e-12
58.1	58.1	58.1	1.38405e-09	7.78359e-13	5.08649e-10	3.90100e-13	8.75523e-10	6.51751e-13
71.4	71.4	71.4	3.53876e-10	2.32466e-13	1.11823e-10	8.60483e-14	2.41504e-10	1.55453e-13
87.8	87.8	87.8	8.82950e-11	5.64279e-14	2.34295e-11	1.77839e-14	6.49972e-11	4.94454e-14
107.8	107.8	107.8	2.19678e-11	1.85785e-14	4.74537e-12	3.18147e-15	1.72142e-11	1.09471e-14
132.5	132.5	132.5	5.28956e-12	4.20937e-15	9.04125e-13	7.71257e-16	4.38997e-12	2.50916e-15
162.8	162.8	162.8	1.24271e-12	1.01795e-15	1.62952e-13	1.51577e-16	1.07901e-12	7.76113e-16
200	200	200	2.81255e-13	1.98387e-16	2.74422e-14	2.41012e-17	2.53947e-13	1.88045e-16
