# sqrt(s_NN) = 5360.0000004.0 GeV ymin=-0.800000 ymax=0.800000	seed=1964
# pTmin	pTmax	pTc	dsigma/(2pi pTdpTdy) (mb/GeV)	stat. err	gluon	err	quark	err
4	4	4	8.09299e-03	5.54992e-06	5.73252e-03	3.56827e-06	2.36691e-03	1.07372e-06
4.9	4.9	4.9	2.86344e-03	2.04574e-06	2.00544e-03	1.42005e-06	8.60809e-04	5.88708e-07
6	6	6	9.83652e-04	6.29351e-07	6.74788e-04	4.50256e-07	3.09476e-04	1.72466e-07
7.4	7.4	7.4	3.14968e-04	1.81813e-07	2.10998e-04	1.44668e-07	1.04276e-04	6.27030e-08
9.1	9.1	9.1	9.98193e-05	6.91704e-08	6.50096e-05	4.26208e-08	3.47900e-05	2.23895e-08
11.2	11.2	11.2	3.06417e-05	1.98878e-08	1.93590e-05	1.15675e-08	1.12981e-05	7.69064e-09
13.8	13.8	13.8	9.13605e-06	7.13396e-09	5.56935e-06	3.76005e-09	3.57018e-06	2.32399e-09
16.9	16.9	16.9	2.75779e-06	1.61056e-09	1.61439e-06	1.07198e-09	1.14352e-06	7.67304e-10
20.8	20.8	20.8	7.93261e-07	5.29237e-10	4.43515e-07	2.93807e-10	3.49797e-07	2.57777e-10
25.5	25.5	25.5	2.28443e-07	1.52800e-10	1.21379e-07	8.78858e-11	1.07297e-07	6.68860e-11
31.4	31.4	31.4	6.28755e-08	4.06687e-11	3.14051e-08	2.54922e-11	3.15320e-08	2.18090e-11
38.5	38.5	38.5	1.74521e-08	1.36756e-11	8.11664e-09	6.65802e-12	9.31665e-09	6.35676e-12
47.3	47.3	47.3	4.68001e-09	3.41705e-12	2.01102e-09	1.53683e-12	2.67051e-09	2.05132e-12
58.1	58.1	58.1	1.23213e-09	8.14596e-13	4.81563e-10	3.66574e-13	7.51808e-10	4.44451e-13
71.4	71.4	71.4	3.17699e-10	1.89318e-13	1.11091e-10	8.27610e-14	2.06950e-10	1.41332e-13
87.8	87.8	87.8	7.97928e-11	4.52390e-14	2.45078e-11	2.01806e-14	5.52754e-11	4.45144e-14
107.8	107.8	107.8	1.97674e-11	1.20627e-14	5.23163e-12	3.92566e-15	1.45368e-11	9.70889e-15
132.5	132.5	132.5	4.72990e-12	3.50645e-15	1.05522e-12	8.69383e-16	3.67805e-12	2.74321e-15
162.8	162.8	162.8	1.09828e-12	7.61126e-16	2.01358e-13	1.65403e-16	8.97029e-13	6.45232e-16
200	200	200	2.44862e-13	1.91154e-16	3.60383e-14	3.20620e-17	2.08643e-13	1.22980e-16
