# sqrt(s_NN) = 5360.0000004.0 GeV ymin=-0.800000 ymax=0.800000	seed=1964
# pTmin	pTmax	pTc	dsigma/(2pi pTdpTdy) (mb/GeV)	stat. err	gluon	err	quark	err
4	4	4	9.53954e-03	7.18884e-06	7.40722e-03	5.55949e-06	2.13538e-03	1.28169e-06
4.9	4.9	4.9	3.46030e-03	2.15896e-06	2.65041e-03	1.92519e-06	8.08858e-04	5.65253e-07
6	6	6	1.17921e-03	7.15308e-07	9.04265e-04	6.49938e-07	2.74967e-04	1.89852e-07
7.4	7.4	7.4	3.82183e-04	2.76158e-07	2.85392e-04	2.06838e-07	9.65368e-05	6.49374e-08
9.1	9.1	9.1	1.21690e-04	8.60254e-08	8.81858e-05	6.36879e-08	3.34881e-05	2.13314e-08
11.2	11.2	11.2	3.74255e-05	3.05098e-08	2.62021e-05	2.06998e-08	1.12666e-05	8.30268e-09
13.8	13.8	13.8	1.11459e-05	7.76992e-09	7.46711e-06	5.51592e-09	3.67340e-06	2.40547e-09
16.9	16.9	16.9	3.35572e-06	2.57575e-09	2.14455e-06	1.70415e-09	1.21147e-06	6.74510e-10
20.8	20.8	20.8	9.57356e-07	7.44357e-10	5.76255e-07	4.40932e-10	3.79654e-07	2.51854e-10
25.5	25.5	25.5	2.73086e-07	2.08236e-10	1.54044e-07	1.11513e-10	1.19365e-07	7.39196e-11
31.4	31.4	31.4	7.43074e-08	4.82975e-11	3.86306e-08	3.17233e-11	3.57605e-08	2.02390e-11
38.5	38.5	38.5	2.03842e-08	1.21101e-11	9.63798e-09	8.84257e-12	1.07706e-08	7.19296e-12
47.3	47.3	47.3	5.41522e-09	4.12128e-12	2.28112e-09	1.76398e-12	3.13614e-09	2.03847e-12
58.1	58.1	58.1	1.41441e-09	7.17267e-13	5.22109e-10	4.55281e-13	8.93558e-10	5.99305e-13
71.4	71.4	71.4	3.62577e-10	2.51701e-13	1.14098e-10	9.03425e-14	2.48140e-10	1.78154e-13
87.8	87.8	87.8	9.06223e-11	6.06813e-14	2.37624e-11	1.78258e-14	6.68536e-11	5.04204e-14
107.8	107.8	107.8	2.24432e-11	1.82879e-14	4.76069e-12	3.56830e-15	1.76879e-11	1.22580e-14
132.5	132.5	132.5	5.38904e-12	4.15710e-15	8.97865e-13	7.45895e-16	4.48357e-12	4.08176e-15
162.8	162.8	162.8	1.25605e-12	9.38858e-16	1.60027e-13	1.22127e-16	1.09557e-12	8.00051e-16
200	200	200	2.82100e-13	2.25950e-16	2.66345e-14	2.24501e-17	2.55471e-13	1.74344e-16
