# sqrt(s_NN) = 5360.0000004.0 GeV ymin=-0.800000 ymax=0.800000	seed=1964
# pTmin	pTmax	pTc	dsigma/(2pi pTdpTdy) (mb/GeV)	stat. err	gluon	err	quark	err
4	4	4	6.18511e-03	3.61451e-06	4.40795e-03	3.09871e-06	1.77490e-03	1.03512e-06
4.9	4.9	4.9	2.28965e-03	1.42313e-06	1.61719e-03	1.10337e-06	6.71973e-04	3.70505e-07
6	6	6	8.17236e-04	5.27064e-07	5.67090e-04	3.71271e-07	2.50394e-04	1.54347e-07
7.4	7.4	7.4	2.71332e-04	1.71668e-07	1.83997e-04	1.25312e-07	8.74240e-05	5.27938e-08
9.1	9.1	9.1	8.87239e-05	5.58255e-08	5.85242e-05	3.52183e-08	3.01189e-05	1.75835e-08
11.2	11.2	11.2	2.80069e-05	1.87233e-08	1.79362e-05	1.37807e-08	1.00583e-05	7.66693e-09
13.8	13.8	13.8	8.55812e-06	4.89467e-09	5.28625e-06	3.68033e-09	3.26394e-06	2.44943e-09
16.9	16.9	16.9	2.63875e-06	1.84687e-09	1.57066e-06	1.02139e-09	1.07092e-06	6.25450e-10
20.8	20.8	20.8	7.72978e-07	4.73476e-10	4.38449e-07	2.95350e-10	3.34149e-07	1.91730e-10
25.5	25.5	25.5	2.26088e-07	1.51369e-10	1.21750e-07	8.92450e-11	1.04383e-07	6.32871e-11
31.4	31.4	31.4	6.30373e-08	4.25831e-11	3.19221e-08	2.18709e-11	3.11298e-08	2.05045e-11
38.5	38.5	38.5	1.76102e-08	1.33214e-11	8.31110e-09	6.98431e-12	9.33107e-09	6.08126e-12
47.3	47.3	47.3	4.76488e-09	3.11763e-12	2.06548e-09	1.55943e-12	2.69927e-09	2.07580e-12
58.1	58.1	58.1	1.25876e-09	9.15247e-13	4.95097e-10	3.99106e-13	7.64152e-10	5.53012e-13
71.4	71.4	71.4	3.25129e-10	2.23109e-13	1.14014e-10	7.86905e-14	2.10859e-10	1.37194e-13
87.8	87.8	87.8	8.13990e-11	5.27967e-14	2.50295e-11	2.09458e-14	5.64970e-11	4.20193e-14
107.8	107.8	107.8	2.00877e-11	1.41832e-14	5.29711e-12	4.77978e-15	1.47843e-11	1.22905e-14
132.5	132.5	132.5	4.78351e-12	3.44795e-15	1.05852e-12	8.25163e-16	3.72520e-12	2.99384e-15
162.8	162.8	162.8	1.10048e-12	7.68328e-16	1.99749e-13	1.53219e-16	9.00681e-13	6.69369e-16
200	200	200	2.43729e-13	1.46239e-16	3.53472e-14	3.08970e-17	2.08244e-13	1.42625e-16
